s,m/s,,s
Time,error,iter,cputime
 4.061E+00, 9.894E-05, 1.164E+02, 3.626E+03
 4.081E+00, 9.882E-05, 1.242E+02, 3.649E+03
 4.101E+00, 9.907E-05, 1.265E+02, 3.674E+03
 4.121E+00, 9.888E-05, 1.150E+02, 3.697E+03
 4.141E+00, 9.891E-05, 1.381E+02, 3.722E+03
 4.161E+00, 9.912E-05, 1.113E+02, 3.747E+03
 4.180E+00, 9.851E-05, 1.109E+02, 3.771E+03
 4.200E+00, 9.886E-05, 1.228E+02, 3.796E+03
 4.220E+00, 9.876E-05, 1.181E+02, 3.822E+03
 4.241E+00, 9.897E-05, 1.158E+02, 3.851E+03
 4.260E+00, 9.918E-05, 1.207E+02, 3.882E+03
 4.280E+00, 9.884E-05, 1.125E+02, 3.910E+03
 4.300E+00, 9.889E-05, 1.194E+02, 3.935E+03
 4.321E+00, 9.909E-05, 1.285E+02, 3.961E+03
 4.341E+00, 9.886E-05, 1.218E+02, 3.986E+03
 4.360E+00, 9.908E-05, 1.281E+02, 4.009E+03
 4.381E+00, 9.892E-05, 1.291E+02, 4.032E+03
 4.401E+00, 9.875E-05, 1.069E+02, 4.057E+03
 4.420E+00, 9.899E-05, 1.139E+02, 4.081E+03
 4.441E+00, 9.903E-05, 1.229E+02, 4.107E+03
 4.461E+00, 9.902E-05, 1.434E+02, 4.133E+03
 4.481E+00, 9.889E-05, 1.361E+02, 4.158E+03
 4.501E+00, 9.890E-05, 1.354E+02, 4.184E+03
 4.521E+00, 9.924E-05, 1.276E+02, 4.210E+03
 4.541E+00, 9.908E-05, 1.431E+02, 4.235E+03
 4.560E+00, 9.887E-05, 1.304E+02, 4.261E+03
 4.580E+00, 9.899E-05, 1.514E+02, 4.287E+03
 4.601E+00, 9.883E-05, 1.256E+02, 4.315E+03
 4.620E+00, 9.895E-05, 1.321E+02, 4.342E+03
 4.641E+00, 9.898E-05, 1.178E+02, 4.369E+03
 4.660E+00, 9.917E-05, 1.232E+02, 4.395E+03
 4.681E+00, 9.894E-05, 1.173E+02, 4.421E+03
 4.701E+00, 9.870E-05, 1.245E+02, 4.447E+03
 4.720E+00, 9.901E-05, 1.227E+02, 4.474E+03
