s,m/s,,s
Time,error,iter,cputime
 5.401E+00, 1.232E-02, 6.944E+00, 5.930E+03
 5.421E+00, 1.212E-02, 6.606E+00, 5.957E+03
 5.441E+00, 1.282E-02, 6.687E+00, 5.983E+03
 5.460E+00, 1.294E-02, 6.688E+00, 6.007E+03
 5.481E+00, 1.236E-02, 6.706E+00, 6.032E+03
 5.501E+00, 1.279E-02, 6.959E+00, 6.058E+03
 5.520E+00, 1.410E-02, 6.333E+00, 6.085E+03
 5.540E+00, 1.385E-02, 6.556E+00, 6.112E+03
 5.561E+00, 1.395E-02, 6.737E+00, 6.140E+03
 5.580E+00, 1.391E-02, 6.944E+00, 6.167E+03
 5.600E+00, 1.357E-02, 6.611E+00, 6.195E+03
 5.621E+00, 1.379E-02, 6.842E+00, 6.222E+03
 5.640E+00, 1.317E-02, 6.722E+00, 6.250E+03
 5.660E+00, 1.259E-02, 7.111E+00, 6.278E+03
 5.681E+00, 1.301E-02, 6.895E+00, 6.307E+03
 5.701E+00, 1.364E-02, 7.006E+00, 6.336E+03
 5.720E+00, 1.356E-02, 6.500E+00, 6.366E+03
 5.740E+00, 1.340E-02, 6.050E+00, 6.395E+03
 5.761E+00, 1.281E-02, 6.238E+00, 6.425E+03
 5.780E+00, 1.318E-02, 6.300E+00, 6.455E+03
 5.801E+00, 1.253E-02, 6.381E+00, 6.486E+03
 5.820E+00, 1.246E-02, 6.200E+00, 6.517E+03
 5.840E+00, 1.231E-02, 6.296E+00, 6.546E+03
 5.860E+00, 1.184E-02, 5.855E+00, 6.575E+03
 5.880E+00, 1.206E-02, 5.853E+00, 6.603E+03
 5.901E+00, 1.172E-02, 5.947E+00, 6.631E+03
 5.921E+00, 1.244E-02, 6.176E+00, 6.657E+03
 5.941E+00, 1.337E-02, 6.059E+00, 6.683E+03
 5.961E+00, 1.216E-02, 6.412E+00, 6.708E+03
 5.980E+00, 1.266E-02, 6.176E+00, 6.733E+03
 6.000E+00, 1.322E-02, 6.118E+00, 6.757E+03
 6.021E+00, 1.257E-02, 6.056E+00, 6.781E+03
 6.041E+00, 1.300E-02, 6.294E+00, 6.805E+03
 6.061E+00, 1.349E-02, 6.412E+00, 6.829E+03
 6.080E+00, 1.421E-02, 6.941E+00, 6.853E+03
 6.100E+00, 1.279E-02, 7.118E+00, 6.879E+03
 6.120E+00, 1.329E-02, 7.000E+00, 6.905E+03
 6.141E+00, 1.366E-02, 7.000E+00, 6.931E+03
 6.161E+00, 1.300E-02, 7.059E+00, 6.957E+03
 6.181E+00, 1.399E-02, 7.176E+00, 6.983E+03
 6.200E+00, 1.351E-02, 6.529E+00, 7.010E+03
 6.220E+00, 1.290E-02, 7.065E+00, 7.036E+03
 6.241E+00, 1.324E-02, 6.400E+00, 7.065E+03
 6.260E+00, 1.374E-02, 6.474E+00, 7.094E+03
 6.281E+00, 1.346E-02, 6.174E+00, 7.125E+03
 6.300E+00, 1.245E-02, 6.409E+00, 7.157E+03
 6.321E+00, 1.341E-02, 6.478E+00, 7.190E+03
 6.340E+00, 1.394E-02, 6.799E+00, 7.223E+03
 6.361E+00, 1.284E-02, 7.286E+00, 7.255E+03
 6.381E+00, 1.258E-02, 6.700E+00, 7.288E+03
 6.400E+00, 1.140E-02, 6.050E+00, 7.318E+03
 6.421E+00, 1.106E-02, 5.905E+00, 7.348E+03
 6.440E+00, 1.218E-02, 6.250E+00, 7.377E+03
 6.460E+00, 1.144E-02, 6.300E+00, 7.407E+03
 6.481E+00, 1.082E-02, 6.000E+00, 7.437E+03
 6.500E+00, 1.189E-02, 6.000E+00, 7.464E+03
 6.521E+00, 1.143E-02, 6.000E+00, 7.490E+03
 6.541E+00, 1.247E-02, 6.353E+00, 7.515E+03
 6.561E+00, 1.272E-02, 6.588E+00, 7.541E+03
 6.580E+00, 1.318E-02, 7.250E+00, 7.566E+03
 6.601E+00, 1.356E-02, 7.283E+00, 7.592E+03
 6.620E+00, 1.291E-02, 6.733E+00, 7.616E+03
 6.641E+00, 1.292E-02, 7.308E+00, 7.642E+03
 6.661E+00, 1.372E-02, 6.566E+00, 7.667E+03
 6.680E+00, 1.313E-02, 6.533E+00, 7.690E+03
 6.701E+00, 1.270E-02, 6.750E+00, 7.713E+03
 6.720E+00, 1.220E-02, 6.867E+00, 7.738E+03
 6.741E+00, 1.272E-02, 6.125E+00, 7.761E+03
 6.761E+00, 1.274E-02, 6.375E+00, 7.785E+03
 6.781E+00, 1.295E-02, 6.400E+00, 7.809E+03
 6.801E+00, 1.357E-02, 6.375E+00, 7.832E+03
 6.820E+00, 1.352E-02, 6.267E+00, 7.855E+03
 6.840E+00, 1.340E-02, 6.582E+00, 7.878E+03
 6.861E+00, 1.279E-02, 6.782E+00, 7.904E+03
