s,m/s,,s
Time,error,iter,cputime
 3.501E+00, 1.657E-15, 1.000E+00, 2.403E+03
 3.521E+00, 1.688E-15, 1.000E+00, 2.425E+03
 3.540E+00, 1.688E-15, 1.000E+00, 2.446E+03
 3.560E+00, 1.554E-15, 1.000E+00, 2.466E+03
 3.581E+00, 1.649E-15, 1.000E+00, 2.488E+03
 3.601E+00, 1.694E-15, 1.000E+00, 2.512E+03
 3.620E+00, 1.730E-15, 1.000E+00, 2.534E+03
 3.640E+00, 1.727E-15, 1.000E+00, 2.554E+03
 3.660E+00, 1.579E-15, 1.000E+00, 2.574E+03
 3.680E+00, 1.776E-15, 1.000E+00, 2.593E+03
 3.700E+00, 1.727E-15, 1.000E+00, 2.613E+03
 3.720E+00, 1.776E-15, 1.000E+00, 2.631E+03
 3.740E+00, 1.776E-15, 1.000E+00, 2.650E+03
 3.760E+00, 1.732E-15, 1.000E+00, 2.670E+03
 3.780E+00, 1.824E-15, 1.000E+00, 2.691E+03
 3.800E+00, 2.046E-15, 1.000E+00, 2.711E+03
 3.820E+00, 1.739E-15, 1.000E+00, 2.734E+03
 3.840E+00, 1.628E-15, 1.000E+00, 2.759E+03
 3.860E+00, 1.662E-15, 1.000E+00, 2.785E+03
 3.881E+00, 1.733E-15, 1.000E+00, 2.809E+03
 3.900E+00, 1.776E-15, 1.000E+00, 2.829E+03
 3.921E+00, 1.732E-15, 1.000E+00, 2.850E+03
 3.940E+00, 1.776E-15, 1.000E+00, 2.870E+03
 3.961E+00, 1.954E-15, 1.000E+00, 2.890E+03
 3.980E+00, 1.917E-15, 1.000E+00, 2.911E+03
 4.000E+00, 1.776E-15, 1.000E+00, 2.931E+03
 4.021E+00, 1.776E-15, 1.000E+00, 2.952E+03
 4.040E+00, 1.776E-15, 1.000E+00, 2.973E+03
 4.061E+00, 1.732E-15, 1.000E+00, 2.993E+03
 4.080E+00, 1.776E-15, 1.000E+00, 3.014E+03
 4.101E+00, 1.776E-15, 1.000E+00, 3.035E+03
 4.120E+00, 1.683E-15, 1.000E+00, 3.055E+03
 4.141E+00, 1.776E-15, 1.000E+00, 3.075E+03
 4.160E+00, 1.496E-15, 1.000E+00, 3.096E+03
 4.181E+00, 1.691E-15, 1.000E+00, 3.117E+03
 4.201E+00, 1.643E-15, 1.000E+00, 3.138E+03
 4.220E+00, 1.730E-15, 1.000E+00, 3.159E+03
 4.241E+00, 1.631E-15, 1.000E+00, 3.179E+03
 4.261E+00, 1.727E-15, 1.000E+00, 3.198E+03
 4.281E+00, 1.875E-15, 1.000E+00, 3.217E+03
 4.301E+00, 1.727E-15, 1.000E+00, 3.236E+03
 4.321E+00, 1.682E-15, 1.000E+00, 3.257E+03
 4.341E+00, 1.733E-15, 1.000E+00, 3.279E+03
 4.360E+00, 1.727E-15, 1.000E+00, 3.299E+03
 4.381E+00, 1.730E-15, 1.000E+00, 3.320E+03
 4.401E+00, 1.690E-15, 1.000E+00, 3.342E+03
 4.421E+00, 1.776E-15, 1.000E+00, 3.363E+03
 4.440E+00, 1.730E-15, 1.000E+00, 3.384E+03
 4.460E+00, 1.732E-15, 1.000E+00, 3.404E+03
 4.481E+00, 1.776E-15, 1.000E+00, 3.425E+03
 4.500E+00, 1.736E-15, 1.000E+00, 3.447E+03
 4.521E+00, 1.776E-15, 1.000E+00, 3.471E+03
 4.540E+00, 1.776E-15, 1.000E+00, 3.495E+03
 4.561E+00, 1.693E-15, 1.000E+00, 3.517E+03
 4.580E+00, 1.727E-15, 1.000E+00, 3.538E+03
 4.601E+00, 1.683E-15, 1.000E+00, 3.557E+03
 4.620E+00, 1.628E-15, 1.000E+00, 3.577E+03
 4.641E+00, 1.730E-15, 1.000E+00, 3.596E+03
 4.660E+00, 1.727E-15, 1.000E+00, 3.616E+03
 4.681E+00, 1.636E-15, 1.000E+00, 3.635E+03
 4.700E+00, 1.678E-15, 1.000E+00, 3.655E+03
 4.721E+00, 1.496E-15, 1.000E+00, 3.674E+03
 4.741E+00, 1.496E-15, 1.000E+00, 3.695E+03
 4.761E+00, 1.467E-15, 1.000E+00, 3.714E+03
 4.781E+00, 1.672E-15, 1.000E+00, 3.732E+03
 4.801E+00, 1.776E-15, 1.000E+00, 3.749E+03
 4.820E+00, 1.721E-15, 1.000E+00, 3.767E+03
 4.840E+00, 1.672E-15, 1.000E+00, 3.784E+03
 4.860E+00, 1.672E-15, 1.000E+00, 3.802E+03
 4.881E+00, 1.683E-15, 1.000E+00, 3.821E+03
 4.900E+00, 1.687E-15, 1.000E+00, 3.842E+03
 4.920E+00, 1.649E-15, 1.000E+00, 3.865E+03
 4.940E+00, 1.730E-15, 1.000E+00, 3.886E+03
 4.960E+00, 1.730E-15, 1.000E+00, 3.906E+03
 4.981E+00, 2.270E-15, 1.000E+00, 3.925E+03
 5.001E+00, 1.878E-15, 1.000E+00, 3.945E+03
 5.020E+00, 1.776E-15, 1.000E+00, 3.966E+03
 5.041E+00, 1.776E-15, 1.000E+00, 3.987E+03
 5.061E+00, 1.917E-15, 1.000E+00, 4.009E+03
 5.080E+00, 1.819E-15, 1.000E+00, 4.032E+03
 5.101E+00, 1.935E-15, 1.000E+00, 4.055E+03
 5.120E+00, 1.776E-15, 1.000E+00, 4.077E+03
 5.140E+00, 1.897E-15, 1.000E+00, 4.100E+03
 5.161E+00, 1.733E-15, 1.000E+00, 4.123E+03
 5.181E+00, 1.643E-15, 1.000E+00, 4.145E+03
 5.200E+00, 1.643E-15, 1.000E+00, 4.166E+03
 5.220E+00, 1.639E-15, 1.000E+00, 4.186E+03
 5.240E+00, 1.678E-15, 1.000E+00, 4.206E+03
 5.261E+00, 1.589E-15, 1.000E+00, 4.225E+03
 5.281E+00, 1.622E-15, 1.000E+00, 4.244E+03
 5.300E+00, 1.610E-15, 1.000E+00, 4.261E+03
 5.321E+00, 1.672E-15, 1.000E+00, 4.278E+03
 5.341E+00, 1.776E-15, 1.000E+00, 4.296E+03
 5.360E+00, 1.776E-15, 1.000E+00, 4.314E+03
 5.380E+00, 1.730E-15, 1.000E+00, 4.331E+03
 5.401E+00, 1.636E-15, 1.000E+00, 4.351E+03
 5.421E+00, 1.683E-15, 1.000E+00, 4.371E+03
 5.441E+00, 1.730E-15, 1.000E+00, 4.392E+03
 5.461E+00, 1.672E-15, 1.000E+00, 4.411E+03
 5.481E+00, 1.682E-15, 1.000E+00, 4.431E+03
 5.500E+00, 1.730E-15, 1.000E+00, 4.451E+03
 5.520E+00, 1.776E-15, 1.000E+00, 4.472E+03
 5.540E+00, 1.730E-15, 1.000E+00, 4.493E+03
 5.560E+00, 1.730E-15, 1.000E+00, 4.513E+03
 5.581E+00, 1.954E-15, 1.000E+00, 4.534E+03
 5.601E+00, 1.776E-15, 1.000E+00, 4.554E+03
 5.621E+00, 1.776E-15, 1.000E+00, 4.576E+03
 5.640E+00, 1.607E-15, 1.000E+00, 4.599E+03
 5.661E+00, 1.696E-15, 1.000E+00, 4.621E+03
 5.681E+00, 1.655E-15, 1.000E+00, 4.645E+03
 5.701E+00, 1.813E-15, 1.000E+00, 4.670E+03
 5.721E+00, 1.739E-15, 1.000E+00, 4.695E+03
 5.740E+00, 1.776E-15, 1.000E+00, 4.719E+03
 5.760E+00, 1.776E-15, 1.000E+00, 4.740E+03
 5.780E+00, 1.688E-15, 1.000E+00, 4.761E+03
 5.800E+00, 1.643E-15, 1.000E+00, 4.782E+03
 5.820E+00, 1.776E-15, 1.000E+00, 4.803E+03
 5.840E+00, 1.732E-15, 1.000E+00, 4.824E+03
 5.860E+00, 1.732E-15, 1.000E+00, 4.845E+03
