s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 2.8634255E-001, 5.3386152E-002, 9.0222609E-006, 3.5000000E+000, 3.9765271E+002, 4.3500000E+001, 4.8330211E-009, 5.7886965E-001
 2.8847845E-001, 5.3322052E-002, 8.5319887E-006, 4.0000000E+000, 4.0227107E+002, 4.3000000E+001, 6.6745928E-009, 5.8229417E-001
 2.9061435E-001, 5.3257582E-002, 9.0090504E-006, 3.5000000E+000, 4.0668641E+002, 4.3000000E+001, 6.5777372E-009, 5.8066588E-001
 2.9275024E-001, 5.3192743E-002, 8.6435848E-006, 4.0000000E+000, 4.1115458E+002, 4.3000000E+001, 6.4537971E-009, 5.8157546E-001
 2.9488614E-001, 5.3127539E-002, 9.0531979E-006, 3.5000000E+000, 4.1536714E+002, 4.3000000E+001, 5.0069974E-009, 5.7694231E-001
 2.9702204E-001, 5.3061970E-002, 8.6964047E-006, 4.0000000E+000, 4.1954219E+002, 4.3000000E+001, 5.5081619E-009, 5.7953969E-001
 2.9808999E-001, 5.3012567E-002, 9.8841491E-006, 3.0000000E+000, 4.2261883E+002, 4.3000000E+001, 6.6274966E-009, 5.7875798E-001
 3.0022588E-001, 5.2962939E-002, 8.8449483E-006, 4.0000000E+000, 4.2638441E+002, 4.3000000E+001, 9.2250816E-009, 5.8629788E-001
 3.0236178E-001, 5.2896470E-002, 9.6869070E-006, 3.5000000E+000, 4.3048921E+002, 4.2500000E+001, 6.0979057E-009, 5.7490237E-001
 3.0449768E-001, 5.2829644E-002, 9.1678919E-006, 3.5000000E+000, 4.3492532E+002, 4.3000000E+001, 4.6463756E-009, 5.7553991E-001
 3.0663358E-001, 5.2762463E-002, 8.9166177E-006, 4.0000000E+000, 4.3990751E+002, 4.3000000E+001, 6.9785837E-009, 5.8237506E-001
 3.0876947E-001, 5.2694930E-002, 8.0709486E-006, 4.0000000E+000, 4.4474928E+002, 4.3000000E+001, 7.3984276E-009, 5.8442193E-001
 3.1090537E-001, 5.2627047E-002, 8.2221610E-006, 4.0000000E+000, 4.4912336E+002, 4.2500000E+001, 7.0254163E-009, 5.7933242E-001
 3.1304127E-001, 5.2558815E-002, 8.2388480E-006, 4.0000000E+000, 4.5398356E+002, 4.3000000E+001, 8.1181787E-009, 5.8542707E-001
 3.1410922E-001, 5.2507425E-002, 8.2474318E-006, 4.0000000E+000, 4.5780728E+002, 4.3000000E+001, 4.0961662E-009, 5.7617135E-001
 3.1624511E-001, 5.2455820E-002, 8.2640358E-006, 4.0000000E+000, 4.6152565E+002, 4.3500000E+001, 5.3941588E-009, 5.8148030E-001
 3.1838101E-001, 5.2386727E-002, 8.2843640E-006, 4.0000000E+000, 4.6593591E+002, 4.3000000E+001, 7.9830780E-009, 5.8511652E-001
 3.2040863E-001, 5.2323235E-002, 8.4917141E-006, 3.5267014E+000, 4.7012599E+002, 4.2526701E+001, 6.6653078E-009, 5.7748030E-001
 3.2232797E-001, 5.2263465E-002, 8.4837940E-006, 3.5000000E+000, 4.7429397E+002, 4.3000000E+001, 4.9398303E-009, 5.7469725E-001
 3.2424730E-001, 5.2200550E-002, 9.0841364E-006, 3.5000000E+000, 4.7838681E+002, 4.2500000E+001, 7.5866954E-009, 5.7737145E-001
 3.2616664E-001, 5.2137364E-002, 9.0335727E-006, 3.0000000E+000, 4.8248616E+002, 4.2000000E+001, 9.3833246E-009, 5.7594487E-001
 3.2808598E-001, 5.2073910E-002, 8.3518409E-006, 3.5000000E+000, 4.8655239E+002, 4.3000000E+001, 5.3457216E-009, 5.7753407E-001
 3.3000531E-001, 5.2010189E-002, 8.9459119E-006, 3.5000000E+000, 4.9085849E+002, 4.3000000E+001, 4.4032345E-009, 5.7410114E-001
 3.3288432E-001, 5.1930150E-002, 8.8254098E-006, 3.3333333E+000, 4.9601839E+002, 4.3000000E+001, 6.5217476E-009, 5.7927510E-001
 3.3480366E-001, 5.1849727E-002, 9.1484590E-006, 3.0000000E+000, 5.0144624E+002, 4.2000000E+001, 8.0086304E-009, 5.7356171E-001
