s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 4.8006315E-001, 4.6348255E-002, 0.0000000E+000, 1.0000000E+000, 6.2866272E+002
 4.8239211E-001, 4.6267727E-002, 0.0000000E+000, 1.0000000E+000, 6.3233825E+002
 4.8456489E-001, 4.6179407E-002, 0.0000000E+000, 1.0000000E+000, 6.3763164E+002
 4.8665957E-001, 4.6093472E-002, 0.0000000E+000, 1.0000000E+000, 6.4323962E+002
 4.8805603E-001, 4.6020673E-002, 0.0000000E+000, 1.0000000E+000, 6.4747635E+002
 4.9015071E-001, 4.5947758E-002, 0.0000000E+000, 1.0000000E+000, 6.5334948E+002
 4.9224540E-001, 4.5860126E-002, 0.0000000E+000, 1.0000000E+000, 6.5841483E+002
 4.9434008E-001, 4.5772343E-002, 0.0000000E+000, 1.0000000E+000, 6.6313474E+002
 4.9643477E-001, 4.5684412E-002, 0.0000000E+000, 1.0000000E+000, 6.6793839E+002
 4.9852945E-001, 4.5596335E-002, 0.0000000E+000, 1.0000000E+000, 6.7217982E+002
 5.0062414E-001, 4.5508114E-002, 0.0000000E+000, 1.0000000E+000, 6.7653523E+002
 5.0202060E-001, 4.5434490E-002, 0.0000000E+000, 1.0000000E+000, 6.8067280E+002
 5.0411528E-001, 4.5360764E-002, 0.0000000E+000, 1.0000000E+000, 6.8514591E+002
 5.0620997E-001, 4.5272168E-002, 9.2518585E-018, 1.0000000E+000, 6.9026837E+002
 5.0830465E-001, 4.5183437E-002, 2.7755576E-017, 1.0000000E+000, 6.9517594E+002
 5.1039934E-001, 4.5094571E-002, 2.7755576E-017, 1.0000000E+000, 7.0012158E+002
 5.1249402E-001, 4.5005573E-002, 2.7755576E-017, 1.0000000E+000, 7.0514097E+002
 5.1458871E-001, 4.4916446E-002, 2.7755576E-017, 1.0000000E+000, 7.0954764E+002
 5.1668339E-001, 4.4827190E-002, 2.7755576E-017, 1.0000000E+000, 7.1399049E+002
 5.1807985E-001, 4.4752717E-002, 2.7755576E-017, 1.0000000E+000, 7.1781101E+002
 5.2017453E-001, 4.4678152E-002, 2.7755576E-017, 1.0000000E+000, 7.2253664E+002
 5.2226922E-001, 4.4588566E-002, 3.7007434E-017, 1.0000000E+000, 7.2880442E+002
 5.2436391E-001, 4.4498860E-002, 2.7755576E-017, 1.0000000E+000, 7.3410251E+002
 5.2645859E-001, 4.4409035E-002, 2.7755576E-017, 1.0000000E+000, 7.3910626E+002
 5.2855328E-001, 4.4319095E-002, 2.7755576E-017, 1.0000000E+000, 7.4538529E+002
 5.3064796E-001, 4.4229041E-002, 2.7755576E-017, 1.0000000E+000, 7.4984643E+002
 5.3204442E-001, 4.4153913E-002, 2.7755576E-017, 1.0000000E+000, 7.5457599E+002
 5.3413910E-001, 4.4078704E-002, 3.7007434E-017, 1.0000000E+000, 7.5860664E+002
 5.3623379E-001, 4.3988356E-002, 3.7007434E-017, 1.0000000E+000, 7.6394582E+002
 5.3832847E-001, 4.3897903E-002, 2.7755576E-017, 1.0000000E+000, 7.6889567E+002
 5.4042316E-001, 4.3807345E-002, 3.7007434E-017, 1.0000000E+000, 7.7262406E+002
 5.4251784E-001, 4.3716686E-002, 2.7755576E-017, 1.0000000E+000, 7.7674283E+002
 5.4461253E-001, 4.3625926E-002, 2.7755576E-017, 1.0000000E+000, 7.8143874E+002
 5.4600899E-001, 4.3550221E-002, 4.1633363E-017, 1.0000000E+000, 7.8524479E+002
 5.4810367E-001, 4.3474445E-002, 2.7755576E-017, 1.0000000E+000, 7.8965423E+002
 5.5019836E-001, 4.3383430E-002, 3.7007434E-017, 1.0000000E+000, 7.9400984E+002
 5.5229304E-001, 4.3292323E-002, 2.7755576E-017, 1.0000000E+000, 7.9916312E+002
