s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 2.4711762E-001, 5.4474383E-002, 7.5899191E-005, 1.0000000E+000, 1.1461603E+002, 4.4000000E+001, 8.6555200E-009, 5.5303384E-001
 2.4830788E-001, 5.4442618E-002, 7.7392368E-005, 1.0000000E+000, 1.1543284E+002, 4.4000000E+001, 8.5316917E-009, 5.5276414E-001
 2.4949814E-001, 5.4410727E-002, 7.8022640E-005, 1.0000000E+000, 1.1622574E+002, 4.4000000E+001, 5.3448176E-009, 5.4684568E-001
 2.5068840E-001, 5.4378709E-002, 7.7565291E-005, 1.0000000E+000, 1.1726923E+002, 4.4000000E+001, 8.7954308E-009, 5.5302146E-001
 2.5187865E-001, 5.4346566E-002, 7.6395435E-005, 1.0000000E+000, 1.1796576E+002, 4.5000000E+001, 3.1119948E-009, 5.4753020E-001
 2.5306891E-001, 5.4314298E-002, 7.5125394E-005, 1.0000000E+000, 1.1895315E+002, 4.5000000E+001, 3.1482929E-009, 5.4764730E-001
 2.5425917E-001, 5.4281904E-002, 7.4239436E-005, 1.0000000E+000, 1.1975842E+002, 4.4000000E+001, 9.5736853E-009, 5.5400296E-001
 2.5544943E-001, 5.4249386E-002, 7.3934709E-005, 1.0000000E+000, 1.2082485E+002, 4.5000000E+001, 4.2308816E-009, 5.5118932E-001
 2.5663969E-001, 5.4216744E-002, 7.4148426E-005, 1.0000000E+000, 1.2188187E+002, 4.4000000E+001, 7.2175973E-009, 5.5036982E-001
 2.5782995E-001, 5.4183977E-002, 7.4671141E-005, 1.0000000E+000, 1.2282996E+002, 4.5000000E+001, 4.3076032E-009, 5.5130662E-001
 2.5902020E-001, 5.4151087E-002, 7.5265056E-005, 1.0000000E+000, 1.2372287E+002, 4.4000000E+001, 8.7356070E-009, 5.5264636E-001
 2.6021046E-001, 5.4118073E-002, 7.5747725E-005, 1.0000000E+000, 1.2476359E+002, 4.5000000E+001, 5.6762786E-009, 5.5458029E-001
 2.6140072E-001, 5.4084937E-002, 7.6030492E-005, 1.0000000E+000, 1.2589059E+002, 4.4000000E+001, 9.9639639E-009, 5.5418537E-001
 2.6259098E-001, 5.4051678E-002, 7.6116435E-005, 1.0000000E+000, 1.2689233E+002, 4.5000000E+001, 5.2427784E-009, 5.5349571E-001
 2.6378124E-001, 5.4018296E-002, 7.6070951E-005, 1.0000000E+000, 1.2769720E+002, 4.4000000E+001, 9.2621329E-009, 5.5316458E-001
 2.6497149E-001, 5.3984792E-002, 7.5981785E-005, 1.0000000E+000, 1.2854092E+002, 4.5000000E+001, 7.1656320E-009, 5.5725690E-001
 2.6616175E-001, 5.3951167E-002, 7.5923930E-005, 1.0000000E+000, 1.2996413E+002, 4.5000000E+001, 5.0527865E-009, 5.5290123E-001
 2.6735201E-001, 5.3917420E-002, 7.5939163E-005, 1.0000000E+000, 1.3096039E+002, 4.5000000E+001, 4.7227909E-009, 5.5202515E-001
 2.6854227E-001, 5.3883553E-002, 7.6032494E-005, 1.0000000E+000, 1.3184504E+002, 4.5000000E+001, 4.8688172E-009, 5.5235079E-001
 2.6973253E-001, 5.3849565E-002, 7.6181653E-005, 1.0000000E+000, 1.3299985E+002, 4.5000000E+001, 7.5982682E-009, 5.5779139E-001
 2.7092278E-001, 5.3815456E-002, 7.6352598E-005, 1.0000000E+000, 1.3397077E+002, 4.5000000E+001, 9.1846365E-009, 5.6009646E-001
 2.7211304E-001, 5.3781228E-002, 7.6514180E-005, 1.0000000E+000, 1.3486875E+002, 4.5000000E+001, 8.9232252E-009, 5.5968710E-001
 2.7449356E-001, 5.3729646E-002, 7.6697889E-005, 1.0000000E+000, 1.3638992E+002, 4.5000000E+001, 8.7025307E-009, 5.5922859E-001
