s,Pa,m/s,
Time,"pres","error","iter"
 4.0241449E-001, 5.3607072E-002, 7.2522548E-004, 4.0000000E+000
 4.0413677E-001, 5.1430472E-002, 8.7458533E-004, 4.0000000E+000
 4.0672019E-001, 4.8199559E-002, 1.0200408E-003, 4.0000000E+000
 4.0844247E-001, 4.4584725E-002, 1.1169214E-003, 4.0000000E+000
 4.1016475E-001, 4.1506501E-002, 1.1524900E-003, 4.0000000E+000
 4.1274816E-001, 3.7603442E-002, 1.1470239E-003, 4.0000000E+000
 4.1447044E-001, 3.3798054E-002, 1.0967750E-003, 4.0000000E+000
 4.1619272E-001, 3.0942134E-002, 1.0251500E-003, 4.0000000E+000
 4.1877614E-001, 2.7739821E-002, 9.0123619E-004, 4.0000000E+000
 4.2041161E-001, 2.4547437E-002, 7.5041621E-004, 4.0000000E+000
 4.2273460E-001, 2.1894272E-002, 5.7559132E-004, 4.0000000E+000
 4.2428327E-001, 2.1323510E-002, 3.8933776E-004, 1.0000000E+000
 4.2660626E-001, 2.1098499E-002, 2.0014464E-004, 1.0000000E+000
 4.2815492E-001, 2.0970087E-002, 5.0831510E-005, 1.0000000E+000
 4.3047792E-001, 2.0951825E-002, 2.0408767E-004, 1.0000000E+000
 4.3202658E-001, 2.1029346E-002, 4.0124200E-004, 1.0000000E+000
 4.3434958E-001, 2.2679266E-002, 5.8107631E-004, 4.0000000E+000
 4.3667257E-001, 2.5746898E-002, 7.6246939E-004, 4.0000000E+000
 4.3822123E-001, 2.8778323E-002, 8.7545486E-004, 4.0000000E+000
 4.4054423E-001, 3.2120328E-002, 9.4646956E-004, 4.0000000E+000
 4.4209289E-001, 3.5602359E-002, 9.7834288E-004, 4.0000000E+000
 4.4441588E-001, 3.9094828E-002, 9.6589652E-004, 4.0000000E+000
 4.4673888E-001, 4.3102384E-002, 8.9880126E-004, 4.0000000E+000
 4.4828754E-001, 4.6143828E-002, 8.0252115E-004, 4.0000000E+000
 4.5061054E-001, 4.8737039E-002, 6.7136729E-004, 4.0000000E+000
 4.5215920E-001, 5.0833778E-002, 5.1700897E-004, 2.5000000E+000
 4.5448219E-001, 5.1165759E-002, 3.5769025E-004, 1.0000000E+000
 4.5603086E-001, 5.1068467E-002, 1.9976416E-004, 1.0000000E+000
 4.5835385E-001, 5.0883637E-002, 8.0475990E-005, 1.0000000E+000
