s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","scarc-iter","scarc-res","scarc-rate"
 2.4935111E-001, 5.4414674E-002, 1.3877788E-017, 1.0000000E+000, 6.4617814E+002, 4.1000000E+001, 5.4473093E-009, 5.2411502E-001
 2.5054135E-001, 5.4382673E-002, 1.3877788E-017, 1.0000000E+000, 6.5027177E+002, 4.1000000E+001, 5.9172399E-009, 5.2511802E-001
 2.5173158E-001, 5.4350546E-002, 1.3877788E-017, 1.0000000E+000, 6.5367363E+002, 4.1000000E+001, 6.4408994E-009, 5.2614934E-001
 2.5292182E-001, 5.4318294E-002, 1.3877788E-017, 1.0000000E+000, 6.6067070E+002, 4.1000000E+001, 7.1930177E-009, 5.2751263E-001
 2.5411205E-001, 5.4285916E-002, 1.3877788E-017, 1.0000000E+000, 6.6867393E+002, 4.1000000E+001, 8.2140863E-009, 5.2916728E-001
 2.5530229E-001, 5.4253414E-002, 2.7755576E-017, 1.0000000E+000, 6.7611503E+002, 4.1000000E+001, 9.3449253E-009, 5.3077861E-001
 2.5649252E-001, 5.4220788E-002, 2.7755576E-017, 1.0000000E+000, 6.8386943E+002, 4.2000000E+001, 3.2225725E-009, 5.2530263E-001
 2.5768276E-001, 5.4188037E-002, 1.3877788E-017, 1.0000000E+000, 6.9092369E+002, 4.2000000E+001, 3.4250748E-009, 5.2601151E-001
 2.5887299E-001, 5.4155163E-002, 2.7755576E-017, 1.0000000E+000, 6.9701536E+002, 4.2000000E+001, 4.2428642E-009, 5.2864593E-001
 2.6006322E-001, 5.4122165E-002, 0.0000000E+000, 1.0000000E+000, 7.0510875E+002, 4.2000000E+001, 4.9409672E-009, 5.3051260E-001
 2.6125346E-001, 5.4089044E-002, 0.0000000E+000, 1.0000000E+000, 7.1175242E+002, 4.2000000E+001, 5.8133960E-009, 5.3251638E-001
 2.6244369E-001, 5.4055801E-002, 0.0000000E+000, 1.0000000E+000, 7.1920250E+002, 4.2000000E+001, 6.9723252E-009, 5.3477207E-001
 2.6363393E-001, 5.4022435E-002, 0.0000000E+000, 1.0000000E+000, 7.2637083E+002, 4.2000000E+001, 8.3488100E-009, 5.3701685E-001
 2.6482416E-001, 5.3988947E-002, 0.0000000E+000, 1.0000000E+000, 7.3340251E+002, 4.2000000E+001, 9.9805794E-009, 5.3925008E-001
 2.6601440E-001, 5.3955338E-002, 0.0000000E+000, 1.0000000E+000, 7.4021232E+002, 4.3000000E+001, 1.8435299E-009, 5.2592870E-001
