s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 2.4936600E-001, 5.4375630E-002, 9.9757971E-006, 3.0000000E+000, 5.0906868E+002
 2.5055626E-001, 5.4387130E-002, 9.9872612E-006, 1.6000000E+001, 5.1149071E+002
 2.5174652E-001, 5.4317572E-002, 9.8955643E-006, 3.0000000E+000, 5.1229479E+002
 2.5293679E-001, 5.4315447E-002, 9.9923022E-006, 1.3000000E+001, 5.1437963E+002
 2.5412705E-001, 5.4272008E-002, 9.8898844E-006, 3.0000000E+000, 5.1565929E+002
 2.5531731E-001, 5.4253170E-002, 9.9974628E-006, 1.4000000E+001, 5.1769933E+002
 2.5650758E-001, 5.4209237E-002, 9.9121842E-006, 3.0000000E+000, 5.1876952E+002
 2.5769784E-001, 5.4190034E-002, 9.9716031E-006, 1.5000000E+001, 5.2095000E+002
 2.5888811E-001, 5.4118773E-002, 9.9445172E-006, 3.0000000E+000, 5.2168218E+002
 2.6007837E-001, 5.4122516E-002, 9.9818076E-006, 1.5000000E+001, 5.2365642E+002
 2.6126863E-001, 5.4050626E-002, 9.9057090E-006, 3.0000000E+000, 5.2467785E+002
 2.6245890E-001, 5.4050478E-002, 9.9833110E-006, 1.3000000E+001, 5.2660198E+002
 2.6364916E-001, 5.3978072E-002, 9.9489769E-006, 3.0000000E+000, 5.2740703E+002
 2.6483942E-001, 5.3984376E-002, 9.9697521E-006, 1.6000000E+001, 5.2966802E+002
 2.6602969E-001, 5.3911304E-002, 9.8967821E-006, 3.0000000E+000, 5.3036297E+002
 2.6721995E-001, 5.3910309E-002, 9.9746856E-006, 1.4000000E+001, 5.3248900E+002
 2.6841021E-001, 5.3866738E-002, 9.8671330E-006, 3.0000000E+000, 5.3361608E+002
 2.6960048E-001, 5.3845067E-002, 9.9940864E-006, 1.4000000E+001, 5.3576623E+002
 2.7079074E-001, 5.3806900E-002, 9.9159712E-006, 3.0000000E+000, 5.3699071E+002
 2.7317127E-001, 5.3762139E-002, 9.9314624E-006, 9.5000000E+000, 5.3952724E+002
 2.7436153E-001, 5.3713813E-002, 9.9877169E-006, 1.4000000E+001, 5.4209728E+002
 2.7674206E-001, 5.3658602E-002, 9.9352331E-006, 9.0000000E+000, 5.4438854E+002
 2.7887797E-001, 5.3595229E-002, 9.8918016E-006, 3.0000000E+000, 5.4740597E+002
 2.8101388E-001, 5.3535322E-002, 9.9279503E-006, 9.5000000E+000, 5.5033092E+002
 2.8208184E-001, 5.3487846E-002, 9.9251750E-006, 3.0000000E+000, 5.5233019E+002
 2.8421775E-001, 5.3436073E-002, 9.9478222E-006, 9.0000000E+000, 5.5419320E+002
 2.8635366E-001, 5.3390710E-002, 9.9810159E-006, 1.0000000E+001, 5.5744060E+002
 2.8848957E-001, 5.3308655E-002, 9.9124912E-006, 3.0000000E+000, 5.5999590E+002
