s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 3.25605777186838E+000, 9.91904605550524E-001, 4.36135546684000E-002, 9.91904605550524E-001, 2.91419931270518E-002, 7.27030015190659E-002, 1.00000000000000E+000
 3.31708005111278E+000, 9.92374811907021E-001, 4.50202815920853E-002, 9.92374811907021E-001, 3.19438631699477E-002, 8.02531282497098E-002, 1.00000000000000E+000
 3.37810233035717E+000, 9.92699194424943E-001, 4.61191452732151E-002, 9.92699194424943E-001, 3.44875188542621E-002, 6.39614805187258E-002, 1.00000000000000E+000
 3.43912460960157E+000, 9.92828975998783E-001, 4.77806154900163E-002, 9.92828975998783E-001, 3.76383230499179E-002, 7.65890453523052E-002, 1.00000000000000E+000
 3.50014688884596E+000, 9.92913669821165E-001, 4.91515011642477E-002, 9.92913669821165E-001, 4.04840733016931E-002, 6.23465340037213E-002, 1.00000000000000E+000
 3.56116916809036E+000, 9.92896419229841E-001, 5.09582268292950E-002, 9.92896419229841E-001, 4.38705487656314E-002, 7.50955700966597E-002, 1.00000000000000E+000
 3.62219144733476E+000, 9.92921064334242E-001, 5.21947317875489E-002, 9.92921064334242E-001, 4.64627144578213E-002, 7.64518380534261E-002, 1.00000000000000E+000
 3.68321372657915E+000, 9.92948407303265E-001, 5.23008278882381E-002, 9.92948407303265E-001, 4.79571473394067E-002, 9.38002898739080E-002, 1.00000000000000E+000
 3.74423600582355E+000, 9.92962221967303E-001, 5.13183180041467E-002, 9.92962221967303E-001, 4.79372692025841E-002, 9.66108282497426E-002, 1.00000000000000E+000
 3.80525828506794E+000, 9.92952035432843E-001, 4.86196050078961E-002, 9.92952035432843E-001, 4.62929584216191E-002, 7.74315468011522E-002, 1.00000000000000E+000
 3.86628056431234E+000, 9.92914007529543E-001, 4.50880346437265E-002, 9.92914007529543E-001, 4.34623078413009E-002, 8.24424711740523E-002, 1.00000000000000E+000
 3.92730284355673E+000, 9.92844671717804E-001, 4.17840953476379E-002, 9.92844671717804E-001, 4.03543055297164E-002, 9.02383148474551E-002, 1.00000000000000E+000
 3.98832512280113E+000, 9.92808610957794E-001, 4.05870616749018E-002, 9.92808610957794E-001, 3.91469089101813E-002, 4.99867235547820E-002, 2.00000000000000E+000
 4.04934740204552E+000, 9.92714912877410E-001, 4.15848333381614E-002, 9.92714912877410E-001, 4.00578374951067E-002, 3.77327519654855E-002, 2.00000000000000E+000
 4.11036968128992E+000, 9.92527390093629E-001, 4.38844545221772E-002, 9.92527390093629E-001, 4.26860712618130E-002, 3.82975383164120E-002, 2.00000000000000E+000
 4.17139196053431E+000, 9.92279139011573E-001, 4.79749515476902E-002, 9.92279139011573E-001, 4.63827275056355E-002, 4.18285662316030E-002, 2.00000000000000E+000
 4.23241423977871E+000, 9.92008267691221E-001, 5.36217148535683E-002, 9.92008267691221E-001, 5.07900836384077E-002, 4.03898686487996E-002, 2.00000000000000E+000
 4.29343651902310E+000, 9.91582695574261E-001, 5.92335674497392E-002, 9.91582695574261E-001, 5.54112456490360E-002, 5.91947512665371E-002, 1.00000000000000E+000
 4.34755028196964E+000, 9.91202002770839E-001, 6.49288322798880E-002, 9.91202002770839E-001, 6.01754922294064E-002, 6.69696660704970E-002, 1.00000000000000E+000
 4.40166404491618E+000, 9.90834038078899E-001, 7.13051580269654E-002, 9.90834038078899E-001, 6.54712168971737E-002, 8.12963085224941E-002, 1.00000000000000E+000
 4.45577780786271E+000, 9.90520237732260E-001, 7.90946414742820E-002, 9.90520237732260E-001, 7.18299801857947E-002, 7.36275859128002E-002, 1.00000000000000E+000
 4.50989157080925E+000, 9.90069971120763E-001, 8.84169390370152E-002, 9.90069971120763E-001, 7.93477541582751E-002, 7.89034208033003E-002, 1.00000000000000E+000
 4.56400533375579E+000, 9.89682564868479E-001, 1.00462548812664E-001, 9.89682564868479E-001, 8.92520037823991E-002, 7.47552467518490E-002, 1.00000000000000E+000
 4.61811909670232E+000, 9.89157039892186E-001, 1.14187493113845E-001, 9.89157039892186E-001, 1.01506133347987E-001, 7.64088576126235E-002, 1.00000000000000E+000
 4.67223285964886E+000, 9.88749088008080E-001, 1.30944330543378E-001, 9.88749088008080E-001, 1.17625170476338E-001, 7.11645616952603E-002, 1.00000000000000E+000
 4.72634662259539E+000, 9.88202738266836E-001, 1.49591556662070E-001, 9.88202738266836E-001, 1.36632706113713E-001, 7.43651240419902E-002, 1.00000000000000E+000
 4.78046038554193E+000, 9.87677732348666E-001, 1.70155216016793E-001, 9.87677732348666E-001, 1.58449063075595E-001, 8.00808476622836E-002, 1.00000000000000E+000
 4.83457414848847E+000, 9.87427843852760E-001, 1.93654039307279E-001, 9.87427843852760E-001, 1.84237552690980E-001, 7.78242949031604E-002, 1.00000000000000E+000
 4.88868791143500E+000, 9.87045665890159E-001, 2.18703560724664E-001, 9.87045665890159E-001, 2.12018999739012E-001, 8.97418478741880E-002, 1.00000000000000E+000
 4.94280167438154E+000, 9.86968497869834E-001, 2.48334002806792E-001, 9.86968497869834E-001, 2.42683218722916E-001, 8.23424095951197E-002, 1.00000000000000E+000
 4.99691543732808E+000, 9.87003371404182E-001, 2.81609644652896E-001, 9.87003371404182E-001, 2.75514280483509E-001, 8.76671512738040E-002, 1.00000000000000E+000
 5.05102920027461E+000, 9.87132436538109E-001, 3.16520485676357E-001, 9.87132436538109E-001, 3.10062187377909E-001, 9.00529978739443E-002, 1.00000000000000E+000
 5.10514296322115E+000, 9.87379847473601E-001, 3.52620951958214E-001, 9.87379847473601E-001, 3.46092977368918E-001, 9.87652455868194E-002, 1.00000000000000E+000
 5.15337854567203E+000, 9.87790126358116E-001, 3.86757343624808E-001, 9.87790126358116E-001, 3.80656059408030E-001, 7.99050727422561E-002, 1.00000000000000E+000
 5.20161412812291E+000, 9.88247941212429E-001, 4.20899771831696E-001, 9.88247941212429E-001, 4.15639268508439E-001, 8.71124726430659E-002, 1.00000000000000E+000
 5.24984971057380E+000, 9.88899915782669E-001, 4.55896783838135E-001, 9.88899915782669E-001, 4.52003843097336E-001, 6.22592108196513E-002, 1.00000000000000E+000
