s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 5.71380883827625E+000, 1.00015270400358E+000, 1.02431716800593E+000, 1.00015270400358E+000, 1.02431716800593E+000, 9.72542834365653E-004, 1.20000000000000E+001
 5.76763663652818E+000, 1.00017271267966E+000, 1.02665276944226E+000, 1.00017271267966E+000, 1.02665276944226E+000, 9.99562558668288E-004, 5.50000000000000E+001
 5.82684721460530E+000, 1.00017558968210E+000, 1.02822864403761E+000, 1.00017558968210E+000, 1.02822864403761E+000, 9.99586104093675E-004, 9.40000000000000E+001
 5.88605779268241E+000, 1.00017852536332E+000, 1.02950614266076E+000, 1.00017852536332E+000, 1.02950614266076E+000, 9.96077901616266E-004, 1.20000000000000E+001
 5.94526837075953E+000, 1.00017620581130E+000, 1.03025179945765E+000, 1.00017620581130E+000, 1.03025179945765E+000, 9.72539110817516E-004, 1.40000000000000E+001
 6.00447894883665E+000, 1.00017037624198E+000, 1.03048773178211E+000, 1.00017037624198E+000, 1.03048773178211E+000, 9.81577863182356E-004, 1.20000000000000E+001
 6.06368952691377E+000, 1.00016184313883E+000, 1.03024261744172E+000, 1.00016184313883E+000, 1.03024261744172E+000, 9.81993745973353E-004, 1.20000000000000E+001
 6.12290010499089E+000, 1.00015139619381E+000, 1.02957878250991E+000, 1.00015139619381E+000, 1.02957878250991E+000, 9.75606588434874E-004, 1.20000000000000E+001
 6.18211068306800E+000, 1.00013977806360E+000, 1.02855736937586E+000, 1.00013977806360E+000, 1.02855736937586E+000, 9.63844275519016E-004, 1.20000000000000E+001
 6.24132126114512E+000, 1.00012768897587E+000, 1.02722564167203E+000, 1.00012768897587E+000, 1.02722564167203E+000, 9.45661536748216E-004, 1.20000000000000E+001
 6.30053183922224E+000, 1.00011591226666E+000, 1.02562538832231E+000, 1.00011591226666E+000, 1.02562538832231E+000, 9.44097911185882E-004, 1.20000000000000E+001
 6.35974241729936E+000, 1.00010509574978E+000, 1.02380349078958E+000, 1.00010509574978E+000, 1.02380349078958E+000, 9.29246873559997E-004, 1.20000000000000E+001
 6.41895299537648E+000, 1.00009569451822E+000, 1.02181048973249E+000, 1.00009569451822E+000, 1.02181048973249E+000, 9.63260101156216E-004, 1.00000000000000E+001
 6.47816357345359E+000, 1.00008882200353E+000, 1.01968883832548E+000, 1.00008882200353E+000, 1.01968883832548E+000, 9.92098285201859E-004, 9.00000000000000E+000
 6.53737415153071E+000, 1.00008624704317E+000, 1.01755178049474E+000, 1.00008624704317E+000, 1.01755178049474E+000, 9.99797284062076E-004, 1.10000000000000E+001
 6.59658472960783E+000, 1.00008876974195E+000, 1.01549419448972E+000, 1.00008876974195E+000, 1.01549419448972E+000, 9.58849449633536E-004, 1.20000000000000E+001
 6.65579530768495E+000, 1.00009610430346E+000, 1.01348445031527E+000, 1.00009610430346E+000, 1.01348445031527E+000, 9.86553576097560E-004, 1.00000000000000E+001
 6.71500588576207E+000, 1.00010805898052E+000, 1.01152216557876E+000, 1.00010805898052E+000, 1.01152216557876E+000, 9.41792511759632E-004, 1.00000000000000E+001
 6.77421646383918E+000, 1.00012333698519E+000, 1.00960171200658E+000, 1.00012333698519E+000, 1.00960171200658E+000, 9.49900149437845E-004, 1.00000000000000E+001
 6.83342704191630E+000, 1.00014030321177E+000, 1.00772470641086E+000, 1.00014030321177E+000, 1.00772470641086E+000, 8.21671561042514E-004, 1.20000000000000E+001
 6.89263761999342E+000, 1.00015702936525E+000, 1.00585983315943E+000, 1.00015702936525E+000, 1.00585983315943E+000, 8.85890827157620E-004, 1.20000000000000E+001
 6.95184819807054E+000, 1.00017094114278E+000, 1.00399118695050E+000, 1.00017094114278E+000, 1.00399118695050E+000, 9.32601489809892E-004, 1.20000000000000E+001
 7.01105877614765E+000, 1.00017974131799E+000, 1.00212960353767E+000, 1.00017974131799E+000, 1.00212960353767E+000, 9.51235546526208E-004, 1.20000000000000E+001
 7.07026935422477E+000, 1.00018130693688E+000, 1.00030493303938E+000, 1.00018130693688E+000, 1.00030493303938E+000, 9.40703308794699E-004, 1.20000000000000E+001
 7.12947993230189E+000, 1.00017492574899E+000, 9.98567392185169E-001, 1.00017492574899E+000, 9.98567392185169E-001, 9.00403318891962E-004, 1.20000000000000E+001
 7.18869051037901E+000, 1.00016151124060E+000, 9.96963217960851E-001, 1.00016151124060E+000, 9.96963217960851E-001, 9.42893312071202E-004, 1.10000000000000E+001
 7.24790108845613E+000, 1.00014193231304E+000, 9.95546687492068E-001, 1.00014193231304E+000, 9.95546687492068E-001, 9.88308392491088E-004, 1.20000000000000E+001
 7.30711166653324E+000, 1.00011813549959E+000, 9.94325871620507E-001, 1.00011813549959E+000, 9.94325871620507E-001, 9.16090279804438E-004, 1.10000000000000E+001
 7.36632224461036E+000, 1.00009111337855E+000, 9.93298765478826E-001, 1.00009111337855E+000, 9.93298765478826E-001, 8.99366850311445E-004, 1.10000000000000E+001
 7.42553282268748E+000, 1.00006253019788E+000, 9.92425358230565E-001, 1.00006253019788E+000, 9.92425358230565E-001, 6.35619544447241E-004, 1.10000000000000E+001
 7.48474340076460E+000, 1.00003380262066E+000, 9.91665771148286E-001, 1.00003380262066E+000, 9.91665771148286E-001, 8.45452495841448E-004, 1.10000000000000E+001
 7.54395397884172E+000, 1.00000629507847E+000, 9.90966881012235E-001, 1.00000629507847E+000, 9.90966881012235E-001, 8.53918065554016E-004, 1.20000000000000E+001
 7.60316455691883E+000, 9.99981629608770E-001, 9.90298129680485E-001, 9.99981629608770E-001, 9.90298129680485E-001, 8.97142163496900E-004, 1.20000000000000E+001
