s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 2.87622382372990E+000, 9.92639294999305E-001, 9.92639294999316E-001, 9.92639294999305E-001, 9.92639294999316E-001, 2.22044604925031E-016, 1.00000000000000E+000
 2.95191784666456E+000, 9.93670097445814E-001, 9.93670097445812E-001, 9.93670097445814E-001, 9.93670097445812E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.02761186959922E+000, 9.94556939330190E-001, 9.94556939330192E-001, 9.94556939330190E-001, 9.94556939330192E-001, 4.44089209850063E-016, 1.00000000000000E+000
 3.10330589253388E+000, 9.95319823187560E-001, 9.95319823187566E-001, 9.95319823187560E-001, 9.95319823187566E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.16734874892092E+000, 9.95975999137067E-001, 9.95975999137045E-001, 9.95975999137067E-001, 9.95975999137045E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.23139160530797E+000, 9.96458916157366E-001, 9.96458916157363E-001, 9.96458916157366E-001, 9.96458916157363E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.29543446169502E+000, 9.96883969180916E-001, 9.96883969180913E-001, 9.96883969180916E-001, 9.96883969180913E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.35947731808207E+000, 9.97258071154087E-001, 9.97258071154087E-001, 9.97258071154087E-001, 9.97258071154087E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.42352017446911E+000, 9.97587313753100E-001, 9.97587313753101E-001, 9.97587313753100E-001, 9.97587313753101E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.48756303085616E+000, 9.97877063909654E-001, 9.97877063909653E-001, 9.97877063909654E-001, 9.97877063909653E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.55160588724321E+000, 9.98132049228229E-001, 9.98132049228237E-001, 9.98132049228229E-001, 9.98132049228237E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.61564874363026E+000, 9.98356433519336E-001, 9.98356433519346E-001, 9.98356433519336E-001, 9.98356433519346E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.67969160001730E+000, 9.98553883550684E-001, 9.98553883550696E-001, 9.98553883550684E-001, 9.98553883550696E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.74373445640435E+000, 9.98727628005006E-001, 9.98727628005010E-001, 9.98727628005006E-001, 9.98727628005010E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.80777731279140E+000, 9.98880509529451E-001, 9.98880509529544E-001, 9.98880509529451E-001, 9.98880509529544E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.87182016917845E+000, 9.99015030666718E-001, 9.99015030666728E-001, 9.99015030666718E-001, 9.99015030666728E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.93586302556549E+000, 9.99133394372156E-001, 9.99133394372283E-001, 9.99133394372156E-001, 9.99133394372283E-001, 2.22044604925031E-016, 1.00000000000000E+000
 3.99990588195254E+000, 9.99237539743441E-001, 9.99237539743464E-001, 9.99237539743441E-001, 9.99237539743464E-001, 2.22044604925031E-016, 1.00000000000000E+000
 4.05657884093308E+000, 9.99329173519539E-001, 9.99329173519531E-001, 9.99329173519539E-001, 9.99329173519531E-001, 4.44089209850063E-016, 1.00000000000000E+000
 4.11325179991362E+000, 9.99401036578627E-001, 9.99401036578620E-001, 9.99401036578627E-001, 9.99401036578620E-001, 2.22044604925031E-016, 1.00000000000000E+000
 4.16992475889416E+000, 9.99465203284007E-001, 9.99465203284001E-001, 9.99465203284007E-001, 9.99465203284001E-001, 2.22044604925031E-016, 1.00000000000000E+000
