s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 5.44867248928983E+000, 9.93308818191658E-001, 7.29046689167838E-001, 9.93308818191658E-001, 7.29046689167838E-001, 9.35452954781455E-002, 1.00000000000000E+000
 5.50577547342019E+000, 9.93770161261950E-001, 7.53086620691031E-001, 9.93770161261950E-001, 7.53086620691031E-001, 4.76651023324202E-002, 2.00000000000000E+000
 5.56287845755056E+000, 9.94107169569777E-001, 7.73910846068706E-001, 9.94107169569777E-001, 7.73055956825578E-001, 8.09555110487297E-002, 1.00000000000000E+000
 5.62569174009396E+000, 9.94465433951735E-001, 7.91899765431069E-001, 9.94465433951735E-001, 7.90513530652743E-001, 6.25611542387718E-002, 2.00000000000000E+000
 5.68850502263737E+000, 9.94707756758136E-001, 8.04630212996982E-001, 9.94707756758136E-001, 8.03485442027205E-001, 3.78362413515696E-002, 2.00000000000000E+000
 5.75131830518077E+000, 9.94953433882226E-001, 8.12567718405540E-001, 9.94953433882226E-001, 8.12391994364163E-001, 3.84058015597426E-002, 2.00000000000000E+000
 5.81413158772417E+000, 9.95233216705207E-001, 8.17672986861953E-001, 9.95233216705207E-001, 8.17672986861953E-001, 3.84378635918804E-002, 2.00000000000000E+000
 5.86692479025273E+000, 9.95487286665413E-001, 8.19756855808591E-001, 9.95487286665413E-001, 8.19756855808591E-001, 7.57111698482251E-002, 1.00000000000000E+000
 5.91971799278130E+000, 9.95840612122668E-001, 8.19088885227918E-001, 9.95840612122668E-001, 8.19088885227918E-001, 4.10034504769128E-002, 2.00000000000000E+000
 5.97251119530986E+000, 9.96250205964633E-001, 8.16999007907579E-001, 9.96250205964633E-001, 8.16999007907579E-001, 8.71811509715996E-002, 1.00000000000000E+000
 6.02530439783843E+000, 9.96626001022092E-001, 8.13006197160926E-001, 9.96626001022092E-001, 8.13006197160926E-001, 4.91066332944379E-002, 2.00000000000000E+000
 6.07809760036699E+000, 9.97036246401339E-001, 8.08327769847282E-001, 9.97036246401339E-001, 8.08327769847282E-001, 8.64380912917222E-002, 1.00000000000000E+000
 6.13089080289556E+000, 9.97293112503526E-001, 8.02289549898421E-001, 9.97293112503526E-001, 8.02289549898421E-001, 4.90087204040626E-002, 2.00000000000000E+000
 6.18368400542412E+000, 9.97617837939907E-001, 7.96247189013599E-001, 9.97617837939907E-001, 7.96247189013599E-001, 7.83821334832014E-002, 1.00000000000000E+000
 6.23647720795269E+000, 9.97895458276366E-001, 7.89761582148980E-001, 9.97895458276366E-001, 7.89761582148980E-001, 9.43671171892644E-002, 1.00000000000000E+000
 6.28927041048125E+000, 9.97824930164765E-001, 7.82246289098564E-001, 9.97824930164765E-001, 7.82246289098564E-001, 4.77833399331165E-002, 2.00000000000000E+000
