s,m3/s,m3/s,m3/s,m3/s,m/s,
Time,flow_in,flow_out,in_net,out_net,error,iter
 2.59576001658628E+000, 9.87540072056489E-001, 1.39252778789977E+000, 9.87540072056489E-001, 1.39252778789977E+000, 9.91303688886735E-002, 2.00000000000000E+000
 2.65545239414830E+000, 9.88934476296677E-001, 1.42207603833799E+000, 9.88934476296677E-001, 1.42207603833799E+000, 9.97820873930106E-002, 2.00000000000000E+000
 2.71514477171033E+000, 9.90173602732444E-001, 1.44185084540373E+000, 9.90173602732444E-001, 1.44185084540373E+000, 1.00036763666219E-001, 1.00000000000000E+001
 2.77483714927235E+000, 9.91274579502504E-001, 1.45802995581533E+000, 9.91274579502504E-001, 1.45802995581533E+000, 9.98625879395426E-002, 3.00000000000000E+000
 2.83452952683438E+000, 9.92252679985830E-001, 1.47185317537910E+000, 9.92252679985830E-001, 1.47185317537910E+000, 9.90831475188876E-002, 2.00000000000000E+000
 2.89422190439640E+000, 9.93121516292992E-001, 1.48346344203777E+000, 9.93121516292992E-001, 1.48346344203777E+000, 9.78146443561743E-002, 3.00000000000000E+000
 2.94587544392311E+000, 9.93893214153651E-001, 1.49135405364427E+000, 9.93893214153651E-001, 1.49135405364427E+000, 9.89688280070566E-002, 3.00000000000000E+000
 2.99752898344982E+000, 9.94490944223164E-001, 1.49702133149388E+000, 9.94490944223164E-001, 1.49702133149388E+000, 9.90278487253828E-002, 3.00000000000000E+000
 3.04918252297652E+000, 9.95030314504369E-001, 1.49991224016172E+000, 9.95030314504369E-001, 1.49991224016172E+000, 9.87849103095887E-002, 3.00000000000000E+000
 3.10083606250323E+000, 9.95516995828996E-001, 1.49937383524808E+000, 9.95516995828996E-001, 1.49937383524808E+000, 9.84041067571690E-002, 3.00000000000000E+000
 3.15248960202994E+000, 9.95956113056454E-001, 1.49590338823960E+000, 9.95956113056454E-001, 1.49590338823960E+000, 9.90526175504326E-002, 2.00000000000000E+000
 3.20414314155664E+000, 9.96352296693001E-001, 1.48922917592527E+000, 9.96352296693001E-001, 1.48922917592527E+000, 9.72059272665563E-002, 2.00000000000000E+000
 3.25579668108335E+000, 9.96709729808070E-001, 1.47989331361418E+000, 9.96709729808070E-001, 1.47989331361418E+000, 9.62549226258425E-002, 2.00000000000000E+000
 3.31261557456273E+000, 9.97032190642424E-001, 1.46709851138000E+000, 9.97032190642424E-001, 1.46709851138000E+000, 9.62237592310764E-002, 2.00000000000000E+000
 3.36256687526893E+000, 9.97350566838961E-001, 1.45336249513567E+000, 9.97350566838961E-001, 1.45336249513567E+000, 9.30429603056280E-002, 2.00000000000000E+000
 3.41251817597513E+000, 9.97602158233440E-001, 1.43876477841987E+000, 9.97602158233440E-001, 1.43876477841987E+000, 9.69349308847802E-002, 1.00000000000000E+000
 3.46246947668133E+000, 9.97829884350862E-001, 1.42355529994620E+000, 9.97829884350862E-001, 1.42355529994620E+000, 9.83746782726163E-002, 1.00000000000000E+000
 3.51242077738752E+000, 9.98036004289536E-001, 1.40791104677237E+000, 9.98036004289536E-001, 1.40791104677237E+000, 9.96734944109283E-002, 1.00000000000000E+000
 3.56237207809372E+000, 9.98222564150589E-001, 1.39194721779714E+000, 9.98222564150589E-001, 1.39194721779714E+000, 9.40626750376357E-002, 1.00000000000000E+000
 3.61232337879992E+000, 9.98391416966243E-001, 1.37621547015484E+000, 9.98391416966243E-001, 1.37621547015484E+000, 8.95774526144963E-002, 1.00000000000000E+000
 3.66227467950612E+000, 9.98544240791523E-001, 1.36068782210789E+000, 9.98544240791523E-001, 1.36068782210789E+000, 8.80701581517205E-002, 1.00000000000000E+000
 3.71222598021232E+000, 9.98682555123567E-001, 1.34528755326482E+000, 9.98682555123567E-001, 1.34528755326482E+000, 8.07134363882314E-002, 1.00000000000000E+000
 3.76217728091852E+000, 9.98807735798951E-001, 1.32988989865979E+000, 9.98807735798951E-001, 1.32988989865979E+000, 8.17387915202454E-002, 1.00000000000000E+000
 3.81212858162472E+000, 9.98921028506688E-001, 1.31435434280080E+000, 9.98921028506688E-001, 1.31435434280080E+000, 8.35848895049609E-002, 1.00000000000000E+000
 3.86207988233091E+000, 9.99023561042758E-001, 1.29791161692668E+000, 9.99023561042758E-001, 1.29791161692668E+000, 7.30330654940803E-002, 1.00000000000000E+000
 3.91203118303711E+000, 9.99116354421062E-001, 1.28120321825066E+000, 9.99116354421062E-001, 1.28120321825066E+000, 8.63995219776434E-002, 1.00000000000000E+000
 3.96198248374331E+000, 9.99200332945657E-001, 1.26357833531819E+000, 9.99200332945657E-001, 1.26357833531819E+000, 7.29749179927985E-002, 1.00000000000000E+000
 4.01193378444951E+000, 9.99276333339832E-001, 1.24573168047454E+000, 9.99276333339832E-001, 1.24573168047454E+000, 8.05712812581536E-002, 1.00000000000000E+000
 4.06188508515571E+000, 9.99345113019093E-001, 1.22708562278603E+000, 9.99345113019093E-001, 1.22708562278603E+000, 6.15133092946592E-002, 1.00000000000000E+000
 4.11183638586191E+000, 9.99407357587312E-001, 1.20824385229520E+000, 9.99407357587312E-001, 1.20824385229520E+000, 6.18566344437594E-002, 1.00000000000000E+000
 4.15606138527992E+000, 9.99463687628133E-001, 1.19112006261243E+000, 9.99463687628133E-001, 1.19112006261243E+000, 5.47514508933484E-002, 1.00000000000000E+000
 4.20028638469793E+000, 9.99509075928259E-001, 1.17376837409719E+000, 9.99509075928259E-001, 1.17376837409719E+000, 5.09623771895544E-002, 1.00000000000000E+000
 4.24451138411594E+000, 9.99550623864276E-001, 1.15626935741633E+000, 9.99550623864276E-001, 1.15626935741633E+000, 4.91552789286605E-002, 1.00000000000000E+000
 4.28378038055377E+000, 9.99588656234521E-001, 1.14056812668809E+000, 9.99588656234521E-001, 1.14056812668809E+000, 4.60721022116686E-002, 1.00000000000000E+000
 4.32304937699159E+000, 9.99619720381786E-001, 1.12486525421442E+000, 9.99619720381786E-001, 1.12486525421442E+000, 4.20894625886985E-002, 1.00000000000000E+000
 4.36231837342941E+000, 9.99648439017423E-001, 1.10926703568872E+000, 9.99648439017423E-001, 1.10926703568872E+000, 3.79432154242041E-002, 1.00000000000000E+000
 4.40158736986724E+000, 9.99674989180336E-001, 1.09388055631516E+000, 9.99674989180336E-001, 1.09388055631516E+000, 3.47403703695608E-002, 1.00000000000000E+000
 4.44085636630506E+000, 9.99699534555271E-001, 1.07880854313514E+000, 9.99699534555271E-001, 1.07880854313514E+000, 3.49837062402307E-002, 1.00000000000000E+000
 4.48012536274288E+000, 9.99722226478860E-001, 1.06414359890822E+000, 9.99722226478860E-001, 1.06414359890822E+000, 3.53760917650725E-002, 1.00000000000000E+000
 4.51939435918070E+000, 9.99743204870060E-001, 1.04996413821445E+000, 9.99743204870060E-001, 1.04996413821445E+000, 3.66458850542892E-002, 1.00000000000000E+000
 4.55866335561853E+000, 9.99762599090640E-001, 1.03633484041153E+000, 9.99762599090640E-001, 1.03633484041153E+000, 3.70854004531116E-002, 1.00000000000000E+000
 4.59793235205635E+000, 9.99780528740959E-001, 1.02330598614647E+000, 9.99780528740959E-001, 1.02330598614647E+000, 3.67284518561930E-002, 1.00000000000000E+000
 4.64112824813795E+000, 9.99797104395856E-001, 1.00966465080608E+000, 9.99797104395856E-001, 1.00966465080608E+000, 3.94429837164694E-002, 1.00000000000000E+000
 4.68432414421956E+000, 9.99813895529446E-001, 9.96763587264461E-001, 9.99813895529446E-001, 9.96763587264461E-001, 4.02096432972150E-002, 1.00000000000000E+000
 4.73183962990933E+000, 9.99829297189361E-001, 9.83393000908440E-001, 9.99829297189361E-001, 9.83393000908440E-001, 4.45151900281679E-002, 1.00000000000000E+000
 4.77935511559909E+000, 9.99844771090766E-001, 9.70852002158783E-001, 9.99844771090766E-001, 9.70852002158783E-001, 5.09856667859085E-002, 1.00000000000000E+000
 4.83162214985783E+000, 9.99858842409971E-001, 9.57942435789781E-001, 9.99858842409971E-001, 9.57942435789781E-001, 5.74276832058838E-002, 1.00000000000000E+000
 4.88388918411658E+000, 9.99872852241503E-001, 9.45886851665997E-001, 9.99872852241503E-001, 9.45886851665997E-001, 5.98590059173392E-002, 1.00000000000000E+000
 4.93615621837532E+000, 9.99885471682768E-001, 9.34594052489837E-001, 9.99885471682768E-001, 9.34594052489837E-001, 5.06273546314753E-002, 1.00000000000000E+000
 4.98842325263406E+000, 9.99896838706491E-001, 9.23969776378935E-001, 9.99896838706491E-001, 9.23969776378935E-001, 6.08157349856469E-002, 1.00000000000000E+000
 5.04069028689280E+000, 9.99907077596773E-001, 9.13933205096136E-001, 9.99907077596773E-001, 9.13933205096136E-001, 6.10519896201964E-002, 1.00000000000000E+000
 5.09295732115154E+000, 9.99916300306633E-001, 9.04435029932885E-001, 9.99916300306633E-001, 9.04435029932885E-001, 6.17567370380434E-002, 1.00000000000000E+000
 5.14522435541029E+000, 9.99924607681035E-001, 8.95461917372984E-001, 9.99924607681035E-001, 8.95461917372984E-001, 7.37624468080167E-002, 1.00000000000000E+000
 5.19749138966903E+000, 9.99932090558675E-001, 8.87101863093223E-001, 9.99932090558675E-001, 8.87101863093223E-001, 6.64265880778210E-002, 1.00000000000000E+000
