s,C,g/g,1/s
Time,Temp,Mass,MLR
3264,567.01411,0.1798006,2.80E-05
3270,568.01411,0.1796193,3.02E-05
3276,569.01411,0.17945,2.82E-05
3282,570.01411,0.1793174,2.21E-05
3288,571.01411,0.1791357,3.03E-05
3294,572.01411,0.1789614,2.91E-05
3300,573.01411,0.1788339,2.13E-05
3306,574.01411,0.1787122,2.03E-05
3312,575.01411,0.1785949,1.96E-05
3318,576.01411,0.1783674,3.79E-05
3324,577.01411,0.1781885,2.98E-05
3330,578.01411,0.1780787,1.83E-05
3336,579.01411,0.1779102,2.81E-05
3342,580.01411,0.1777166,3.23E-05
3348,581.01411,0.1775854,2.19E-05
3354,582.01411,0.1774633,2.04E-05
3360,583.01411,0.1773393,2.07E-05
3366,584.01411,0.1771682,2.85E-05
3372,585.01411,0.1770096,2.64E-05
3378,586.01411,0.1768751,2.24E-05
3384,587.01411,0.1767277,2.46E-05
3390,588.01411,0.1765636,2.74E-05
3396,589.01411,0.1763888,2.91E-05
3402,590.01411,0.1762355,2.55E-05
3408,591.01411,0.1760446,3.18E-05
3414,592.01411,0.1759416,1.72E-05
3420,593.01411,0.1758995,7.02E-06
3426,594.01411,0.1755953,5.07E-05
3432,595.01411,0.1755656,4.95E-06
3438,596.01411,0.1753994,2.77E-05
3444,597.01411,0.175293,1.77E-05
3450,598.01411,0.1752046,1.47E-05
3456,599.01411,0.1750013,3.39E-05
3462,600.01411,0.1747918,3.49E-05
3468,601.01411,0.1747304,1.02E-05
3474,602.01411,0.1745961,2.24E-05
3480,603.01411,0.1745193,1.28E-05
3486,604.01411,0.1743454,2.90E-05
3492,605.01411,0.1741989,2.44E-05
3498,606.01411,0.1740656,2.22E-05
3504,607.01411,0.1739255,2.33E-05
3510,608.01411,0.173824,1.69E-05
3516,609.01411,0.1737383,1.43E-05
3522,610.01411,0.1735428,3.26E-05
3528,611.01411,0.1734179,2.08E-05
3534,612.01411,0.1732697,2.47E-05
3540,613.01411,0.1732311,6.43E-06
3546,614.01411,0.173051,3.00E-05
3552,615.01411,0.1730273,3.95E-06
3558,616.01411,0.1728795,2.46E-05
3564,617.01411,0.1727545,2.08E-05
3570,618.01411,0.1726133,2.35E-05
3576,619.01411,0.172513,1.67E-05
3582,620.01411,0.1723558,2.62E-05
3588,621.01411,0.1722936,1.04E-05
3594,622.01411,0.1721447,2.48E-05
3600,623.01411,0.1721367,1.33E-06
3606,624.01411,0.1720525,1.40E-05
3612,625.01411,0.1718423,3.50E-05
3618,626.01411,0.1717143,2.13E-05
3624,627.01411,0.1717067,1.27E-06
3630,628.01411,0.171654,8.78E-06
3636,629.01411,0.1714896,2.74E-05
3642,630.01411,0.1713584,2.19E-05
3648,631.01411,0.1712156,2.38E-05
3654,632.01411,0.1711988,2.80E-06
3660,633.01411,0.1711921,1.12E-06
3666,634.01411,0.1710229,2.82E-05
3672,635.01411,0.1708434,2.99E-05
3678,636.01411,0.1706476,3.26E-05
3684,637.01411,0.1705977,8.32E-06
3690,638.01411,0.1706134,-2.62E-06
3696,639.01411,0.1704857,2.13E-05
3702,640.01411,0.1704173,1.14E-05
3708,641.01411,0.1703104,1.78E-05
3714,642.01411,0.1703219,-1.92E-06
3720,643.01411,0.1702796,7.05E-06
3726,644.01411,0.1700768,3.38E-05
3732,645.01411,0.1699435,2.22E-05
3738,646.01411,0.1699249,3.10E-06
3744,647.01411,0.1698658,9.85E-06
3750,648.01411,0.1697541,1.86E-05
3756,649.01411,0.1696379,1.94E-05
3762,650.01411,0.169584,8.98E-06
3768,651.01411,0.1694251,2.65E-05
3774,652.01411,0.1693956,4.92E-06
3780,653.01411,0.1692541,2.36E-05
3786,654.01411,0.1692615,-1.23E-06
3792,655.01411,0.1691367,2.08E-05
3798,656.01411,0.1691207,2.67E-06
3804,657.01411,0.1690343,1.44E-05
3810,658.01411,0.1690033,5.17E-06
3816,659.01411,0.1688941,1.82E-05
3822,660.01411,0.1688154,1.31E-05
3828,661.01411,0.1686981,1.95E-05
3834,662.01411,0.1685732,2.08E-05
3840,663.01411,0.168581,-1.30E-06
3846,664.01411,0.1685186,1.04E-05
3852,665.01411,0.1684869,5.28E-06
3858,666.01411,0.1684089,1.30E-05
3864,667.01411,0.168276,2.22E-05
3870,668.01411,0.1682524,3.93E-06
3876,669.01411,0.16819,1.04E-05
3882,670.01411,0.1680808,1.82E-05
3888,671.01411,0.1680559,4.15E-06
3894,672.01411,0.1679786,1.29E-05
3900,673.01411,0.1678756,1.72E-05
3906,674.01411,0.1677818,1.56E-05
3912,675.01411,0.1676507,2.18E-05
3918,676.01411,0.1676435,1.20E-06
3924,677.01411,0.1676668,-3.88E-06
3930,678.01411,0.1676347,5.35E-06
3936,679.01411,0.1675618,1.22E-05
3942,680.01411,0.1674168,2.42E-05
3948,681.01411,0.1673991,2.95E-06
3954,682.01411,0.1673449,9.03E-06
3960,683.01411,0.1672708,1.24E-05
3966,684.01411,0.1671784,1.54E-05
3972,685.01411,0.1671558,3.77E-06
3978,686.01411,0.1671639,-1.35E-06
3984,687.01411,0.1670642,1.66E-05
3990,688.01411,0.1670081,9.35E-06
3996,689.01411,0.167011,-4.83E-07
4002,690.01411,0.1669389,1.20E-05
4008,691.01411,0.1667998,2.32E-05
4014,692.01411,0.1667273,1.21E-05
4020,693.01411,0.1666485,1.31E-05
4026,694.01411,0.1665546,1.56E-05
