Time1,OH1,TMP1
0.004705954899121616,4.126464594992546e-09,1200.2762286807376
0.004794774721405973,4.16291082218775e-09,1200.286815587066
0.00488359454369033,4.199207688274253e-09,1200.2975042748228
0.004972414365974688,4.2353978514618e-09,1200.3082935805344
0.005061234188259045,4.2715194013561196e-09,1200.3191825424929
0.005150054010543402,4.307606329325013e-09,1200.330170379342
0.00523887383282776,4.343688956553188e-09,1200.3412564707696
0.005327693655112117,4.379794323304266e-09,1200.352440340076
0.005416513477396474,4.4159465417431054e-09,1200.3637216384957
0.005505333299680832,4.452167114692156e-09,1200.3751001311657
0.005594153121965189,4.488475223024209e-09,1200.3865756846044
0.005682972944249546,4.524887984488116e-09,1200.3981482555375
0.005771792766533904,4.5614206864475245e-09,1200.4098178809334
0.005860612588818261,4.5980869947368595e-09,1200.4215846691322
0.005949432411102618,4.634899140727433e-09,1200.4334487919714
0.006038252233386976,4.67186808864335e-09,1200.445410477805
0.006127072055671333,4.709003685026626e-09,1200.457470005321
0.00621589187795569,4.746314792065403e-09,1200.469627698073
0.0063047117002400475,4.783809406344407e-09,1200.4818839196462
0.006393531522524405,4.821494764465474e-09,1200.4942390693973
0.006482351344808762,4.859377436876844e-09,1200.5066935787013
0.0065711711670931195,4.897463411127975e-09,1200.5192479076504
0.006659990989377477,4.93575816564638e-09,1200.5319025421536
0.006748810811661834,4.974266735032577e-09,1200.5446579913935
0.0068376306339461915,5.012993767780496e-09,1200.5575147855977
0.006926450456230549,5.051943577245817e-09,1200.5704734740923
0.007015270278514906,5.091120186601958e-09,1200.5835346236013
0.0071040901007992634,5.13052736844756e-09,1200.5966988167643
0.007192909923083621,5.170168679663397e-09,1200.609966650849
0.007326596601128663,5.230283371768088e-09,1200.6301334034915
0.007460283279173705,5.290946914808054e-09,1200.6505384726966
0.007593969957218747,5.3521695362970815e-09,1200.6711840519058
0.007727656635263789,5.413960933487081e-09,1200.6920723877843
0.007861343313308832,5.476330465724686e-09,1200.7132057764709
0.007995029991353875,5.53928719020484e-09,1200.7345865604732
