s,m/s,,s
Time,error,iter,cputime
 4.2008764E+000, 9.9946521E-004, 3.9050000E+002, 1.5374019E+003
 4.2345191E+000, 9.9730211E-004, 1.8233333E+002, 1.5408242E+003
 4.2644168E+000, 1.1465313E-003, 1.0180000E+003, 1.5502867E+003
 4.2943145E+000, 9.8922857E-004, 5.9000000E+001, 1.5562446E+003
 4.3262053E+000, 9.9710419E-004, 1.3175000E+002, 1.5576856E+003
 4.3590928E+000, 9.9955736E-004, 9.5166667E+002, 1.5644729E+003
 4.3810177E+000, 9.9789887E-004, 8.8100000E+002, 1.5697930E+003
 4.4139052E+000, 1.1172213E-003, 1.3080000E+003, 1.5809844E+003
 4.4467926E+000, 1.4035458E-003, 1.3703333E+003, 1.5988928E+003
 4.4796800E+000, 1.6925914E-003, 2.0000000E+003, 1.6144392E+003
 4.5016050E+000, 2.2875431E-003, 1.4460000E+003, 1.6306961E+003
 4.5344924E+000, 1.1844359E-003, 1.3856667E+003, 1.6461706E+003
 4.5673799E+000, 1.5939984E-003, 2.0000000E+003, 1.6632952E+003
 4.6002673E+000, 1.6654108E-003, 1.4053333E+003, 1.6799122E+003
 4.6221923E+000, 1.1856164E-003, 1.1355000E+003, 1.6924804E+003
 4.6550797E+000, 2.1177067E-003, 1.0966667E+003, 1.7045828E+003
 4.6879672E+000, 2.2056433E-003, 2.0000000E+003, 1.7236543E+003
 4.7208546E+000, 1.1603100E-003, 1.6783333E+003, 1.7422835E+003
 4.7427796E+000, 1.2163430E-003, 1.0900000E+003, 1.7527551E+003
 4.7756670E+000, 1.2176702E-003, 1.4080000E+003, 1.7643642E+003
 4.8085545E+000, 1.9456210E-003, 1.5453333E+003, 1.7786750E+003
 4.8304794E+000, 3.4363442E-003, 2.0000000E+003, 1.7927111E+003
 4.8633669E+000, 1.9337858E-003, 1.7213333E+003, 1.8084285E+003
 4.8962543E+000, 1.0074792E-003, 8.0300000E+002, 1.8215738E+003
 4.9291417E+000, 2.2258380E-003, 2.0000000E+003, 1.8352857E+003
 4.9510667E+000, 9.9976708E-004, 7.4750000E+002, 1.8486426E+003
 4.9839541E+000, 1.3442964E-003, 8.3266667E+002, 1.8618950E+003
 5.0168416E+000, 1.4544790E-003, 2.0000000E+003, 1.8758781E+003
 5.0497290E+000, 1.3914047E-003, 8.8133333E+002, 1.8910969E+003
 5.0716540E+000, 1.5656133E-003, 2.0000000E+003, 1.9044463E+003
 5.1045414E+000, 9.9864732E-004, 1.3933333E+002, 1.9099157E+003
 5.1374289E+000, 9.9716154E-004, 7.9400000E+002, 1.9142448E+003
 5.1703163E+000, 1.2012438E-003, 7.5400000E+002, 1.9229669E+003
 5.1922413E+000, 1.2015028E-003, 1.3645000E+003, 1.9318282E+003
 5.2251287E+000, 1.2739802E-003, 1.2116667E+003, 1.9432625E+003
 5.2580161E+000, 2.4160423E-003, 1.3923333E+003, 1.9622329E+003
 5.2909036E+000, 1.3923680E-003, 1.6596667E+003, 1.9807472E+003
 5.3128285E+000, 1.3574871E-003, 2.0000000E+003, 1.9950917E+003
 5.3457160E+000, 1.5916711E-003, 2.0000000E+003, 2.0106045E+003
 5.3786034E+000, 1.1183566E-003, 1.2836667E+003, 2.0271720E+003
 5.4005284E+000, 1.4631653E-003, 1.1635000E+003, 2.0366751E+003
 5.4334158E+000, 1.3524164E-003, 8.1033333E+002, 2.0492211E+003
 5.4663033E+000, 2.4993915E-003, 1.9106667E+003, 2.0629908E+003
 5.4991907E+000, 1.3374742E-003, 1.3186667E+003, 2.0816811E+003
 5.5211157E+000, 9.9648866E-004, 1.9800000E+002, 2.0891216E+003
 5.5561956E+000, 1.1895459E-003, 7.6656250E+002, 2.0941338E+003
 5.5803131E+000, 9.9728522E-004, 2.0800000E+002, 2.1009245E+003
 5.6164892E+000, 1.0951093E-003, 1.2140000E+003, 2.1088512E+003
 5.6406067E+000, 9.9721319E-004, 2.2350000E+002, 2.1162012E+003
 5.6767829E+000, 1.2337054E-003, 9.4700000E+002, 2.1255939E+003
 5.7009003E+000, 9.9635951E-004, 8.8150000E+002, 2.1295156E+003
 5.7370765E+000, 1.6363593E-003, 1.3763333E+003, 2.1380798E+003
 5.7611940E+000, 9.9977346E-004, 1.5760000E+003, 2.1510963E+003
 5.7973702E+000, 1.3378111E-003, 1.3700000E+003, 2.1604131E+003
 5.8214876E+000, 9.9770391E-004, 2.3200000E+002, 2.1709352E+003
 5.8576638E+000, 1.5267609E-003, 1.2516667E+003, 2.1800147E+003
 5.8817813E+000, 1.7000940E-003, 1.1540000E+003, 2.1918996E+003
 5.9179575E+000, 1.3439179E-003, 1.6000000E+003, 2.2045843E+003
 5.9420749E+000, 9.9838685E-004, 3.8850000E+002, 2.2150236E+003
 5.9782511E+000, 1.4126777E-003, 8.8666667E+002, 2.2245943E+003
 6.0023686E+000, 1.0128283E-003, 1.0505000E+003, 2.2324743E+003
 6.0385447E+000, 3.1141954E-003, 2.0000000E+003, 2.2423413E+003
 6.0626622E+000, 2.0368028E-003, 1.2550000E+003, 2.2571606E+003
 6.0988384E+000, 1.5586167E-003, 2.0000000E+003, 2.2731228E+003
 6.1229558E+000, 1.6451392E-003, 2.0000000E+003, 2.2889976E+003
 6.1591320E+000, 1.3637088E-003, 1.4046667E+003, 2.3035380E+003
 6.1832495E+000, 1.3193901E-003, 1.1565000E+003, 2.3161990E+003
 6.2194257E+000, 2.5621442E-003, 2.0000000E+003, 2.3276066E+003
 6.2435431E+000, 1.7155886E-003, 1.7075000E+003, 2.3430526E+003
 6.2797193E+000, 1.3454908E-003, 1.9566667E+003, 2.3575074E+003
