s,m/s,,s
Time,error,iter,cputime
 9.3345645E+000, 6.0396133E-014, 7.3333333E+000, 1.0474790E+003
 9.3684181E+000, 5.9211895E-014, 8.0000000E+000, 1.0524552E+003
 9.3909872E+000, 8.1712415E-014, 6.0000000E+000, 1.0562955E+003
 9.4248408E+000, 8.4080890E-014, 6.6666667E+000, 1.0600748E+003
 9.4586943E+000, 5.4030854E-014, 6.6666667E+000, 1.0647312E+003
 9.4812634E+000, 6.7501560E-014, 5.5000000E+000, 1.0684381E+003
 9.5151170E+000, 4.0560148E-014, 6.0000000E+000, 1.0719136E+003
 9.5489705E+000, 4.5001040E-014, 6.6666667E+000, 1.0764790E+003
 9.5715396E+000, 4.1744386E-014, 6.0000000E+000, 1.0801727E+003
 9.6053932E+000, 3.1086245E-014, 7.0000000E+000, 1.0840200E+003
 9.6392468E+000, 6.3652787E-014, 6.0000000E+000, 1.0884845E+003
 9.6618158E+000, 5.5955240E-014, 5.5000000E+000, 1.0920666E+003
 9.6956694E+000, 4.9441932E-014, 5.6666667E+000, 1.0956536E+003
 9.7295230E+000, 3.9079850E-014, 6.0000000E+000, 1.0998475E+003
 9.7520920E+000, 4.8405724E-014, 6.0000000E+000, 1.1036691E+003
 9.7859456E+000, 4.4112862E-014, 5.6666667E+000, 1.1072706E+003
 9.8197992E+000, 5.1514348E-014, 6.0000000E+000, 1.1117123E+003
 9.8423682E+000, 3.1530334E-014, 6.0000000E+000, 1.1154514E+003
 9.8762218E+000, 5.6251300E-014, 6.6666667E+000, 1.1191359E+003
 9.9100754E+000, 3.2862602E-014, 6.3333333E+000, 1.1236270E+003
 9.9326444E+000, 4.4853010E-014, 6.0000000E+000, 1.1274639E+003
 9.9664980E+000, 4.2632564E-014, 5.3333333E+000, 1.1309933E+003
 1.0001480E+001, 3.9452312E-014, 6.6774194E+000, 1.1349202E+003
 1.0026306E+001, 4.6185278E-014, 6.0000000E+000, 1.1384232E+003
 1.0051132E+001, 5.2846616E-014, 6.0000000E+000, 1.1414844E+003
 1.0088371E+001, 3.8487732E-014, 5.6666667E+000, 1.1451040E+003
 1.0113197E+001, 3.1086245E-014, 5.5000000E+000, 1.1486363E+003
 1.0150436E+001, 3.3750780E-014, 6.0000000E+000, 1.1523822E+003
 1.0175262E+001, 4.6629367E-014, 7.0000000E+000, 1.1563214E+003
 1.0200088E+001, 4.6185278E-014, 6.0000000E+000, 1.1593496E+003
 1.0232968E+001, 2.8717769E-014, 6.0000000E+000, 1.1634914E+003
 1.0265849E+001, 3.3158661E-014, 6.6666667E+000, 1.1677607E+003
 1.0302017E+001, 3.2862602E-014, 5.6666667E+000, 1.1721156E+003
 1.0326130E+001, 3.6859404E-014, 6.0000000E+000, 1.1754806E+003
 1.0350242E+001, 3.5527137E-014, 6.5000000E+000, 1.1783997E+003
 1.0386411E+001, 3.4342899E-014, 6.6666667E+000, 1.1821696E+003
