s,m/s,,s
Time,error,iter,cputime
 9.7227756E+000, 9.3542030E-004, 3.2666667E+001, 2.8703533E+002
 9.7550125E+000, 8.6239602E-004, 3.5333333E+001, 2.8813254E+002
 9.7872493E+000, 8.9118198E-004, 3.6333333E+001, 2.8927776E+002
 9.8194862E+000, 9.5163012E-004, 3.2333333E+001, 2.9038694E+002
 9.8409774E+000, 8.7861127E-004, 2.3500000E+001, 2.9125956E+002
 9.8732143E+000, 9.1884439E-004, 3.6333333E+001, 2.9219138E+002
 9.9054511E+000, 9.3424626E-004, 3.0666667E+001, 2.9332893E+002
 9.9376880E+000, 9.4119917E-004, 3.3666667E+001, 2.9445128E+002
 9.9699248E+000, 8.9506221E-004, 3.6666667E+001, 2.9561708E+002
 9.9914160E+000, 9.1249255E-004, 3.4000000E+001, 2.9654012E+002
 1.0026877E+001, 9.5079197E-004, 3.7666667E+001, 2.9753158E+002
 1.0050517E+001, 9.4677647E-004, 3.4000000E+001, 2.9850530E+002
 1.0085977E+001, 9.3638105E-004, 3.7666667E+001, 2.9947109E+002
 1.0121438E+001, 9.0489180E-004, 3.6333333E+001, 3.0060298E+002
 1.0145078E+001, 8.7471495E-004, 2.7500000E+001, 3.0152074E+002
 1.0180539E+001, 9.0996785E-004, 3.8333333E+001, 3.0249542E+002
 1.0204179E+001, 9.0868430E-004, 3.6500000E+001, 3.0344584E+002
 1.0239640E+001, 9.4172829E-004, 3.1666667E+001, 3.0440766E+002
 1.0263280E+001, 8.9289330E-004, 3.6000000E+001, 3.0537977E+002
 1.0298741E+001, 8.9063727E-004, 4.0333333E+001, 3.0632511E+002
 1.0322381E+001, 9.2156908E-004, 4.1000000E+001, 3.0732503E+002
 1.0357842E+001, 9.7144122E-004, 2.6333333E+001, 3.0826715E+002
 1.0381482E+001, 9.1974068E-004, 4.8000000E+001, 3.0925368E+002
