s,kg/s,,kg/s,,kg
Time,MF IN TRACER,MASS IN TRACER,MF OUT TRACER,MASS OUT TRACER,MASS VOL TRACER
 2.3340731E-001, 1.2551228E+002, 2.9295477E+001,-8.6352194E+001,-7.0138331E+000, 2.2111064E+001
 2.3582262E-001, 1.2551228E+002, 2.9598629E+001,-8.7076149E+001,-7.2241495E+000, 2.2204755E+001
 2.3823794E-001, 1.2551228E+002, 2.9901781E+001,-8.7765696E+001,-7.4361313E+000, 2.2296741E+001
 2.4065325E-001, 1.2551228E+002, 3.0204933E+001,-8.8427673E+001,-7.6497121E+000, 2.2387099E+001
 2.4306857E-001, 1.2551228E+002, 3.0508084E+001,-8.9065734E+001,-7.8648339E+000, 2.2475889E+001
 2.4548389E-001, 1.2551228E+002, 3.0811236E+001,-8.9682459E+001,-8.0814454E+000, 2.2563165E+001
 2.4789920E-001, 1.2551228E+002, 3.1114388E+001,-9.0278037E+001,-8.2994953E+000, 2.2648977E+001
 2.5031452E-001, 1.2551228E+002, 3.1417540E+001,-9.0851706E+001,-8.5189308E+000, 2.2733376E+001
 2.5272983E-001, 1.2551228E+002, 3.1720691E+001,-9.1401638E+001,-8.7396946E+000, 2.2816417E+001
 2.5514515E-001, 1.2551228E+002, 3.2023843E+001,-9.1924720E+001,-8.9617218E+000, 2.2898160E+001
 2.5756046E-001, 1.2551228E+002, 3.2326995E+001,-9.2418236E+001,-9.1849410E+000, 2.2978673E+001
 2.5997578E-001, 1.2551228E+002, 3.2630147E+001,-9.2882585E+001,-9.4092818E+000, 2.3058029E+001
 2.6239109E-001, 1.2551228E+002, 3.2933298E+001,-9.3319529E+001,-9.6346779E+000, 2.3136298E+001
 2.6480641E-001, 1.2551228E+002, 3.3236450E+001,-9.3731924E+001,-9.8610701E+000, 2.3213543E+001
 2.6722173E-001, 1.2551228E+002, 3.3539602E+001,-9.4121219E+001,-1.0088402E+001, 2.3289821E+001
 2.6963704E-001, 1.2551228E+002, 3.3842754E+001,-9.4487378E+001,-1.0316619E+001, 2.3365187E+001
 2.7205236E-001, 1.2551228E+002, 3.4145905E+001,-9.4830198E+001,-1.0545664E+001, 2.3439696E+001
 2.7446767E-001, 1.2551228E+002, 3.4449057E+001,-9.5151370E+001,-1.0775485E+001, 2.3513404E+001
 2.7688299E-001, 1.2551228E+002, 3.4752209E+001,-9.5453366E+001,-1.1006035E+001, 2.3586360E+001
 2.7929830E-001, 1.2551228E+002, 3.5055361E+001,-9.5737702E+001,-1.1237272E+001, 2.3658609E+001
 2.8171362E-001, 1.2551228E+002, 3.5358512E+001,-9.6007847E+001,-1.1469161E+001, 2.3730191E+001
 2.8412893E-001, 1.2551228E+002, 3.5661664E+001,-9.6265428E+001,-1.1701672E+001, 2.3801136E+001
 2.8654425E-001, 1.2551228E+002, 3.5964816E+001,-9.6512443E+001,-1.1934780E+001, 2.3871474E+001
 2.8895957E-001, 1.2551228E+002, 3.6267968E+001,-9.6751097E+001,-1.2168465E+001, 2.3941226E+001
 2.9137488E-001, 1.2551228E+002, 3.6571119E+001,-9.6983779E+001,-1.2402711E+001, 2.4010410E+001
 2.9379020E-001, 1.2551228E+002, 3.6874271E+001,-9.7212875E+001,-1.2637511E+001, 2.4079038E+001
 2.9620551E-001, 1.2551228E+002, 3.7177423E+001,-9.7442497E+001,-1.2872865E+001, 2.4147115E+001
 2.9862083E-001, 1.2551228E+002, 3.7480575E+001,-9.7676847E+001,-1.3108786E+001, 2.4214634E+001
 3.0103614E-001, 1.2551228E+002, 3.7783727E+001,-9.7920378E+001,-1.3345294E+001, 2.4281578E+001
 3.0345146E-001, 1.2551228E+002, 3.8086878E+001,-9.8177017E+001,-1.3582423E+001, 2.4347920E+001
 3.0586677E-001, 1.2551228E+002, 3.8390030E+001,-9.8450366E+001,-1.3820211E+001, 2.4413625E+001
 3.0828209E-001, 1.2551228E+002, 3.8693182E+001,-9.8740916E+001,-1.4058702E+001, 2.4478649E+001
 3.1069740E-001, 1.2551228E+002, 3.8996334E+001,-9.9045115E+001,-1.4297927E+001, 2.4542953E+001
 3.1311272E-001, 1.2551228E+002, 3.9299485E+001,-9.9355275E+001,-1.4537901E+001, 2.4606510E+001
 3.1552804E-001, 1.2551228E+002, 3.9602637E+001,-9.9661067E+001,-1.4778614E+001, 2.4669318E+001
 3.1794335E-001, 1.2551228E+002, 3.9905789E+001,-9.9952687E+001,-1.5020032E+001, 2.4731399E+001
 3.2035867E-001, 1.2551228E+002, 4.0208941E+001,-1.0022308E+002,-1.5262102E+001, 2.4792796E+001
 3.2277398E-001, 1.2551228E+002, 4.0512092E+001,-1.0046758E+002,-1.5504763E+001, 2.4853568E+001
 3.2518930E-001, 1.2551228E+002, 4.0815244E+001,-1.0068588E+002,-1.5747951E+001, 2.4913781E+001
 3.2760461E-001, 1.2551228E+002, 4.1118396E+001,-1.0088032E+002,-1.5991609E+001, 2.4973496E+001
 3.3001993E-001, 1.2551228E+002, 4.1421548E+001,-1.0105411E+002,-1.6235686E+001, 2.5032768E+001
 3.3243524E-001, 1.2551228E+002, 4.1724699E+001,-1.0120955E+002,-1.6480139E+001, 2.5091643E+001
 3.3485056E-001, 1.2551228E+002, 4.2027851E+001,-1.0134897E+002,-1.6724929E+001, 2.5150164E+001
 3.3726588E-001, 1.2551228E+002, 4.2331003E+001,-1.0147467E+002,-1.6970022E+001, 2.5208366E+001
 3.3968119E-001, 1.2551228E+002, 4.2634155E+001,-1.0158734E+002,-1.7215388E+001, 2.5266281E+001
 3.4209651E-001, 1.2551228E+002, 4.2937306E+001,-1.0168638E+002,-1.7460993E+001, 2.5323940E+001
 3.4451182E-001, 1.2551228E+002, 4.3240458E+001,-1.0177264E+002,-1.7706806E+001, 2.5381375E+001
 3.4692714E-001, 1.2551228E+002, 4.3543610E+001,-1.0184753E+002,-1.7952799E+001, 2.5438615E+001
