s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 1.56009877419252E+000,-5.85879332365130E+000, 5.85792681590093E+000
 1.56954052604022E+000,-5.86849692762725E+000, 5.86746143243533E+000
 1.57898227788791E+000,-5.87803395807964E+000, 5.87856122407529E+000
 1.58842402973561E+000,-5.88740701066626E+000, 5.88714518411133E+000
 1.59314490565945E+000,-5.89203284791974E+000, 5.89278720511309E+000
 1.60258665750715E+000,-5.90116473270877E+000, 5.90007540538426E+000
 1.61202840935484E+000,-5.91013899310028E+000, 5.90939243972398E+000
 1.61674928527869E+000,-5.91456779260450E+000, 5.91527323176441E+000
 1.62619103712639E+000,-5.92331027024786E+000, 5.92265060578498E+000
 1.63563278897408E+000,-5.93190128361131E+000, 5.93142151565408E+000
 1.64035366489793E+000,-5.93614074555393E+000, 5.93547357789951E+000
 1.64979541674562E+000,-5.94450907190527E+000, 5.94385291154230E+000
 1.65923716859332E+000,-5.95273190182208E+000, 5.95182295018458E+000
 1.66867892044101E+000,-5.96081156894797E+000, 5.96150419147723E+000
 1.67339979636486E+000,-5.96479843741465E+000, 5.96571326647083E+000
 1.68284154821256E+000,-5.97266766949526E+000, 5.97208399296901E+000
 1.69228330006025E+000,-5.98039944023729E+000, 5.98115295322009E+000
 1.69700417598410E+000,-5.98421447499162E+000, 5.98514210327486E+000
 1.70644592783179E+000,-5.99174422168276E+000, 5.99135020662254E+000
 1.71588767967949E+000,-5.99914202080850E+000, 5.99959228146362E+000
 1.72060855560334E+000,-6.00279211416495E+000, 6.00358614569254E+000
 1.73005030745103E+000,-6.00999602060967E+000, 6.00908474263654E+000
 1.73949205929873E+000,-6.01707330819211E+000, 6.01602420481013E+000
 1.74421293522258E+000,-6.02056512114011E+000, 6.01945490767064E+000
 1.75365468707027E+000,-6.02745637195965E+000, 6.02677344183185E+000
 1.76309643891797E+000,-6.03422615049362E+000, 6.03460218852477E+000
 1.77253819076566E+000,-6.04087646509275E+000, 6.03991614648053E+000
 1.77665440016258E+000,-6.04373883541327E+000, 6.04370961385685E+000
 1.78488681895642E+000,-6.04939723874687E+000, 6.04856016009286E+000
 1.79311923775027E+000,-6.05496826301532E+000, 6.05491344734011E+000
 1.80135165654411E+000,-6.06045317894267E+000, 6.06078359865953E+000
 1.80958407533795E+000,-6.06585324125757E+000, 6.06652158155446E+000
 1.81781649413180E+000,-6.07116968881438E+000, 6.06999390147054E+000
 1.82604891292564E+000,-6.07640374471632E+000, 6.07541921842725E+000
 1.83428133171948E+000,-6.08155661643998E+000, 6.08260893998532E+000
 1.84251375051332E+000,-6.08662949596237E+000, 6.08625883795591E+000
 1.85074616930717E+000,-6.09162355988844E+000, 6.09091936439021E+000
 1.85897858810101E+000,-6.09653996958088E+000, 6.09765645882191E+000
 1.86721100689485E+000,-6.10137987129088E+000, 6.10228176929928E+000
 1.87544342568869E+000,-6.10614439629011E+000, 6.10528853384060E+000
 1.88367584448254E+000,-6.11083466100376E+000, 6.11205182584249E+000
 1.89102653018476E+000,-6.11496071734557E+000, 6.11435957052949E+000
 1.89837721588698E+000,-6.11902922182096E+000, 6.11972477150336E+000
 1.90572790158919E+000,-6.12304093969254E+000, 6.12201659009800E+000
 1.91307858729141E+000,-6.12699662711141E+000, 6.12791457992359E+000
 1.92042927299363E+000,-6.13089703119562E+000, 6.13126454108162E+000
 1.93145530154696E+000,-6.13664559337009E+000, 6.13655705069230E+000
 1.93880598724918E+000,-6.14041099918103E+000, 6.13982996155393E+000
 1.94615667295140E+000,-6.14412366656030E+000, 6.14442133705165E+000
