s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 1.57878887457327E+000,-5.87784025694532E+000, 5.87784025694534E+000
 1.58823081744617E+000,-5.88721683065410E+000, 5.88721683065412E+000
 1.59295178888262E+000,-5.89184440640518E+000, 5.89184440640515E+000
 1.60239373175552E+000,-5.90097972455508E+000, 5.90097972455506E+000
 1.61183567462842E+000,-5.90995736078312E+000, 5.90995736078310E+000
 1.61655664606487E+000,-5.91438782687857E+000, 5.91438782687859E+000
 1.62599858893777E+000,-5.92313359553775E+000, 5.92313359553773E+000
 1.63544053181067E+000,-5.93172784434133E+000, 5.93172784434132E+000
 1.64016150324712E+000,-5.93596890340459E+000, 5.93596890340461E+000
 1.64960344612002E+000,-5.94434038327929E+000, 5.94434038327930E+000
 1.65904538899292E+000,-5.95256631306599E+000, 5.95256631306601E+000
 1.66848733186582E+000,-5.96064902716893E+000, 5.96064902716892E+000
 1.67320830330227E+000,-5.96463739952561E+000, 5.96463739952562E+000
 1.68265024617517E+000,-5.97250960065890E+000, 5.97250960065891E+000
 1.69209218904807E+000,-5.98024428943950E+000, 5.98024428943949E+000
 1.69681316048452E+000,-5.98406076431491E+000, 5.98406076431491E+000
 1.70625510335742E+000,-5.99159335391281E+000, 5.99159335391283E+000
 1.71569704623032E+000,-5.99899394677516E+000, 5.99899394677516E+000
 1.72041801766677E+000,-6.00264541878853E+000, 6.00264541878856E+000
 1.72985996053967E+000,-6.00985204657627E+000, 6.00985204657626E+000
 1.73930190341257E+000,-6.01693200813793E+000, 6.01693200813795E+000
 1.74402287484902E+000,-6.02042514053672E+000, 6.02042514053674E+000
 1.75346481772192E+000,-6.02731899562217E+000, 6.02731899562214E+000
 1.76290676059482E+000,-6.03409133282503E+000, 6.03409133282505E+000
 1.77234870346772E+000,-6.04074416119130E+000, 6.04074416119130E+000
 1.77645900048781E+000,-6.04360345888496E+000, 6.04360345888499E+000
 1.78467959452801E+000,-6.04925588422634E+000, 6.04925588422635E+000
 1.79290018856821E+000,-6.05482114924120E+000, 6.05482114924118E+000
 1.80112078260840E+000,-6.06030051959958E+000, 6.06030051959956E+000
 1.80934137664860E+000,-6.06569524506472E+000, 6.06569524506473E+000
 1.81756197068879E+000,-6.07100655961329E+000, 6.07100655961326E+000
 1.82578256472899E+000,-6.07623568155715E+000, 6.07623568155718E+000
