s,m3/s,m3/s
Time,VDOT_IN,VDOT_OUT
 1.99357435449378E+000,-6.16685298916429E+000, 6.16685298916431E+000
 2.00095228536498E+000,-6.17020670780107E+000, 6.17020670780100E+000
 2.00833021623618E+000,-6.17351305409056E+000, 6.17351305409052E+000
 2.01939711254298E+000,-6.17838515757628E+000, 6.17838515757619E+000
 2.02677504341418E+000,-6.18157587421866E+000, 6.18157587421858E+000
 2.03415297428538E+000,-6.18472143851125E+000, 6.18472143851113E+000
 2.04153090515658E+000,-6.18782246692149E+000, 6.18782246692145E+000
 2.04890883602778E+000,-6.19087956814405E+000, 6.19087956814408E+000
 2.05628676689898E+000,-6.19389334318019E+000, 6.19389334318009E+000
 2.06735366320578E+000,-6.19833406510595E+000, 6.19833406510598E+000
 2.07473159407698E+000,-6.20124210428133E+000, 6.20124210428126E+000
 2.08210952494818E+000,-6.20410886132844E+000, 6.20410886132846E+000
 2.08948745581938E+000,-6.20693490360306E+000, 6.20693490360312E+000
 2.09686538669059E+000,-6.20972079119920E+000, 6.20972079119911E+000
 2.10424331756179E+000,-6.21246707702623E+000, 6.21246707702614E+000
 2.11531021386859E+000,-6.21651344446734E+000, 6.21651344446732E+000
 2.12268814473979E+000,-6.21916309839728E+000, 6.21916309839719E+000
 2.13006607561099E+000,-6.22177503027326E+000, 6.22177503027330E+000
 2.13744400648219E+000,-6.22434976162324E+000, 6.22434976162324E+000
 2.14482193735339E+000,-6.22688780720977E+000, 6.22688780720976E+000
 2.15219986822459E+000,-6.22938967510483E+000, 6.22938967510478E+000
 2.16326676453139E+000,-6.23307573892044E+000, 6.23307573892047E+000
 2.17064469540259E+000,-6.23548934216682E+000, 6.23548934216679E+000
 2.17802262627379E+000,-6.23786849435721E+000, 6.23786849435720E+000
 2.18449723935195E+000,-6.23992835111085E+000, 6.23992835111083E+000
 2.19420915896919E+000,-6.24296977965673E+000, 6.24296977965669E+000
 2.20068377204734E+000,-6.24496562040297E+000, 6.24496562040287E+000
 2.21039569166458E+000,-6.24791249033205E+000, 6.24791249033202E+000
 2.21687030474274E+000,-6.24984625574225E+000, 6.24984625574225E+000
 2.22658222435998E+000,-6.25270143595913E+000, 6.25270143595916E+000
