s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.6800000E-001, 2.9977252E-001, 3.4809626E-001,-3.2593508E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2834611E-001, 9.7022541E-009
 2.7000000E-001, 2.9921599E-001, 3.4752226E-001,-3.2610452E-001, 2.2204460E-016, 1.0000000E+000, 3.8000000E+001, 5.2837200E-001, 9.7024902E-009
 2.7200000E-001, 2.9865847E-001, 3.4694878E-001,-3.2627146E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2832019E-001, 9.6565086E-009
 2.7400000E-001, 2.9809992E-001, 3.4637576E-001,-3.2643574E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2818330E-001, 9.5621504E-009
 2.7600000E-001, 2.9754030E-001, 3.4580314E-001,-3.2659722E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2795599E-001, 9.4188992E-009
 2.7800000E-001, 2.9697959E-001, 3.4523086E-001,-3.2675579E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2763485E-001, 9.2276800E-009
 2.8000000E-001, 2.9641775E-001, 3.4465885E-001,-3.2691135E-001, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.2721851E-001, 8.9909198E-009
 2.8200000E-001, 2.9585476E-001, 3.4408704E-001,-3.2706383E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2670707E-001, 8.7121037E-009
 2.8400000E-001, 2.9529061E-001, 3.4351534E-001,-3.2721317E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2610484E-001, 8.3974211E-009
 2.8600000E-001, 2.9472529E-001, 3.4294367E-001,-3.2735934E-001, 0.0000000E+000, 1.0000000E+000, 3.8000000E+001, 5.2541929E-001, 8.0547814E-009
 2.8800000E-001, 2.9415879E-001, 3.4237194E-001,-3.2750233E-001, 1.1102230E-016, 1.0000000E+000, 3.8000000E+001, 5.2466151E-001, 7.6936879E-009
 2.9000000E-001, 2.9359110E-001, 3.4180004E-001,-3.2764214E-001, 5.5511151E-017, 1.0000000E+000, 3.8000000E+001, 5.2384576E-001, 7.3245141E-009
 2.9200000E-001, 2.9302223E-001, 3.4122787E-001,-3.2777878E-001, 2.2204460E-016, 1.0000000E+000, 3.8000000E+001, 5.2298912E-001, 6.9578462E-009
