s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.4200000E-001, 2.3426134E-001, 2.7035220E-001, 1.6364669E+000, 9.9795816E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4400000E-001, 2.3694027E-001, 2.7345113E-001, 1.6370326E+000, 9.9650194E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4600000E-001, 2.3962040E-001, 2.7655194E-001, 1.6375659E+000, 9.9671141E-006, 1.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4800000E-001, 2.4230173E-001, 2.7965487E-001, 1.6383091E+000, 9.9612854E-006, 1.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5000000E-001, 2.4498427E-001, 2.8275991E-001, 1.6388648E+000, 9.9668067E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5200000E-001, 2.4672007E-001, 2.8478058E-001, 1.0695147E+000, 9.9785098E-006, 4.9100000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5400000E-001, 2.4843760E-001, 2.8677466E-001, 1.0531540E+000, 9.9988812E-006, 8.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5600000E-001, 2.5015461E-001, 2.8876760E-001, 1.0512384E+000, 9.8216077E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5800000E-001, 2.5187073E-001, 2.9075935E-001, 1.0497122E+000, 8.7192142E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E-001, 2.5358520E-001, 2.9274969E-001, 1.0486701E+000, 9.1914901E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6200000E-001, 2.5530082E-001, 2.9474422E-001, 1.0517115E+000, 9.9598758E-006, 2.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6400000E-001, 2.5702502E-001, 2.9675041E-001, 1.0564158E+000, 9.9707865E-006, 5.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6600000E-001, 2.5875035E-001, 2.9875781E-001, 1.0556591E+000, 9.9656538E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6800000E-001, 2.6047616E-001, 3.0076673E-001, 1.0559570E+000, 9.9280848E-006, 1.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7000000E-001, 2.6220339E-001, 3.0277861E-001, 1.0576428E+000, 9.9263462E-006, 1.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7200000E-001, 2.6393170E-001, 3.0479261E-001, 1.0576194E+000, 9.9754732E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7400000E-001, 2.6566138E-001, 3.0680912E-001, 1.0584588E+000, 9.9900486E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7600000E-001, 2.6739210E-001, 3.0882769E-001, 1.0585917E+000, 9.9676123E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7800000E-001, 2.6912397E-001, 3.1084855E-001, 1.0592810E+000, 9.9625703E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-001, 2.7085685E-001, 3.1287148E-001, 1.0595649E+000, 9.9290040E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8200000E-001, 2.7259082E-001, 3.1489662E-001, 1.0602263E+000, 9.9260388E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8400000E-001, 2.7432574E-001, 3.1692369E-001, 1.0605596E+000, 9.9702618E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8600000E-001, 2.7606167E-001, 3.1895292E-001, 1.0611368E+000, 9.9254094E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8800000E-001, 2.7779860E-001, 3.2098412E-001, 1.0616021E+000, 9.9753859E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9000000E-001, 2.7953649E-001, 3.2301732E-001, 1.0620702E+000, 9.9198647E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9200000E-001, 2.8127531E-001, 3.2505242E-001, 1.0624562E+000, 9.9121885E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
