s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.2000000E-001, 2.9482754E-001, 3.4117790E-001, 4.0671961E-001, 5.4701417E-006, 6.0000000E+000, 3.4000000E+001, 5.7428649E-001, 7.4360650E-009
 2.2200000E-001, 2.9548829E-001, 3.4197947E-001, 4.0685072E-001, 5.5660754E-006, 6.0000000E+000, 3.4000000E+001, 5.7522256E-001, 7.9462604E-009
 2.2400000E-001, 2.9614935E-001, 3.4278200E-001, 4.0697484E-001, 5.6926279E-006, 6.0000000E+000, 3.4000000E+001, 5.7673276E-001, 8.8203721E-009
 2.2600000E-001, 2.9681068E-001, 3.4358546E-001, 4.0709245E-001, 5.8485956E-006, 6.0000000E+000, 3.4000000E+001, 5.7802564E-001, 9.7026487E-009
 2.2800000E-001, 2.9747220E-001, 3.4438981E-001, 4.0720402E-001, 6.0321802E-006, 6.0000000E+000, 3.5000000E+001, 5.6760251E-001, 3.0349696E-009
 2.3000000E-001, 2.9813387E-001, 3.4519502E-001, 4.0731006E-001, 6.2409664E-006, 6.0000000E+000, 3.5000000E+001, 5.6589253E-001, 2.8027485E-009
 2.3200000E-001, 2.9879563E-001, 3.4600108E-001, 4.0741111E-001, 6.4719106E-006, 6.0000000E+000, 3.5000000E+001, 5.6856293E-001, 3.4007890E-009
 2.3400000E-001, 2.9945741E-001, 3.4680797E-001, 4.0750770E-001, 6.7213351E-006, 6.0000000E+000, 3.5000000E+001, 5.6930492E-001, 3.6704620E-009
 2.3600000E-001, 3.0011915E-001, 3.4761567E-001, 4.0760038E-001, 6.9849390E-006, 6.0000000E+000, 3.5000000E+001, 5.6942821E-001, 3.8188509E-009
 2.3800000E-001, 3.0078080E-001, 3.4842416E-001, 4.0768973E-001, 7.2578216E-006, 6.0000000E+000, 3.5000000E+001, 5.6924071E-001, 3.9008852E-009
 2.4000000E-001, 3.0144230E-001, 3.4923344E-001, 4.0777630E-001, 7.5345152E-006, 6.0000000E+000, 3.5000000E+001, 5.6877167E-001, 3.9164930E-009
 2.4200000E-001, 3.0210358E-001, 3.5004351E-001, 4.0786066E-001, 7.8090353E-006, 6.0000000E+000, 3.5000000E+001, 5.6804211E-001, 3.8671876E-009
 2.4400000E-001, 3.0276459E-001, 3.5085435E-001, 4.0794336E-001, 8.0749554E-006, 6.0000000E+000, 3.5000000E+001, 5.6710011E-001, 3.7639594E-009
 2.4600000E-001, 3.0342527E-001, 3.5166596E-001, 4.0802497E-001, 8.3254869E-006, 6.0000000E+000, 3.5000000E+001, 5.6604170E-001, 3.6302319E-009
