s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.6200000E-001, 2.5229664E-001, 2.8894207E-001, 1.5929442E+000, 5.8650244E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6400000E-001, 2.5439731E-001, 2.9136110E-001, 1.6100572E+000, 5.9916745E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6600000E-001, 2.5642680E-001, 2.9378196E-001, 1.6258743E+000, 5.9516989E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6800000E-001, 2.5837040E-001, 2.9618013E-001, 1.6400692E+000, 5.7752620E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7000000E-001, 2.6022519E-001, 2.9853622E-001, 1.6525139E+000, 5.4640321E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7200000E-001, 2.6199988E-001, 3.0083976E-001, 1.6632404E+000, 5.1611430E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7400000E-001, 2.6371218E-001, 3.0309073E-001, 1.6723723E+000, 4.7049972E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7600000E-001, 2.6538448E-001, 3.0529859E-001, 1.6800502E+000, 4.0997167E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7800000E-001, 2.6703972E-001, 3.0747937E-001, 1.6863753E+000, 3.3678903E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-001, 2.6869834E-001, 3.0965190E-001, 1.6913838E+000, 2.6056142E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8200000E-001, 2.7037695E-001, 3.1183429E-001, 1.6950536E+000, 2.8987067E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8400000E-001, 2.7208830E-001, 3.1404158E-001, 1.6973317E+000, 3.0825390E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8600000E-001, 2.7384190E-001, 3.1628454E-001, 1.6981694E+000, 3.1491148E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8800000E-001, 2.7564478E-001, 3.1856965E-001, 1.6975513E+000, 3.1039370E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9000000E-001, 2.7750196E-001, 3.2089972E-001, 1.6955124E+000, 2.9605998E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9200000E-001, 2.7941646E-001, 3.2327473E-001, 1.6921405E+000, 2.7351505E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9400000E-001, 2.8138914E-001, 3.2569261E-001, 1.6875672E+000, 2.5750242E-003, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
