s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.4000000E-001, 3.0144249E-001, 3.4923326E-001, 4.0777281E-001, 7.3997122E-004, 1.0000000E+000, 4.1000000E+001, 5.4413255E-001, 4.9681270E-009
 2.4200000E-001, 3.0210378E-001, 3.5004332E-001, 4.0785704E-001, 7.7299064E-004, 1.0000000E+000, 4.1000000E+001, 5.4284412E-001, 4.5843575E-009
 2.4400000E-001, 3.0276480E-001, 3.5085415E-001, 4.0793965E-001, 8.0401350E-004, 1.0000000E+000, 4.1000000E+001, 5.4177616E-001, 4.3006160E-009
 2.4600000E-001, 3.0342547E-001, 3.5166576E-001, 4.0802121E-001, 8.3228453E-004, 1.0000000E+000, 4.1000000E+001, 5.4154647E-001, 4.2971659E-009
 2.4800000E-001, 3.0408576E-001, 3.5247814E-001, 4.0810223E-001, 8.5678303E-004, 1.0000000E+000, 4.1000000E+001, 5.4231490E-001, 4.6279078E-009
 2.5000000E-001, 3.0474559E-001, 3.5329130E-001, 4.0818327E-001, 8.7649634E-004, 1.0000000E+000, 4.1000000E+001, 5.4360025E-001, 5.1775051E-009
 2.5200000E-001, 3.0419565E-001, 3.5270964E-001,-3.2460281E-001, 1.7271459E-003, 1.0000000E+000, 4.2000000E+001, 5.5199047E-001, 7.1411574E-009
 2.5400000E-001, 3.0364511E-001, 3.5213054E-001,-3.2471336E-001, 1.4693726E-003, 1.0000000E+000, 4.1000000E+001, 5.4455906E-001, 6.5865256E-009
 2.5600000E-001, 3.0309390E-001, 3.5155285E-001,-3.2486853E-001, 4.9089340E-004, 1.0000000E+000, 4.0000000E+001, 5.4272655E-001, 8.3691785E-009
 2.5800000E-001, 3.0254211E-001, 3.5097563E-001,-3.2504952E-001, 1.0650019E-003, 1.0000000E+000, 4.1000000E+001, 5.4768469E-001, 6.7327624E-009
 2.6000000E-001, 3.0198973E-001, 3.5039860E-001,-3.2523868E-001, 1.1791847E-003, 1.0000000E+000, 4.1000000E+001, 5.4828822E-001, 7.3525232E-009
 2.6200000E-001, 3.0143670E-001, 3.4982196E-001,-3.2542302E-001, 9.7114459E-004, 1.0000000E+000, 4.1000000E+001, 5.4798202E-001, 6.9213995E-009
 2.6400000E-001, 3.0088288E-001, 3.4924596E-001,-3.2559905E-001, 7.3402302E-004, 1.0000000E+000, 4.1000000E+001, 5.4539520E-001, 5.5187044E-009
 2.6600000E-001, 3.0032820E-001, 3.4867072E-001,-3.2576929E-001, 6.0954668E-004, 1.0000000E+000, 4.1000000E+001, 5.3911768E-001, 3.3952932E-009
