s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 1.1758788E+001, 1.0000223E+000, 1.0179002E+000, 9.9976122E-004, 1.8000000E+001
 1.1847446E+001, 1.0000514E+000, 1.0255761E+000, 9.9762572E-004, 1.6000000E+001
 1.1936105E+001, 1.0000827E+000, 1.0328866E+000, 9.9376025E-004, 1.3000000E+001
 1.2024764E+001, 1.0001149E+000, 1.0395648E+000, 9.4902228E-004, 1.2000000E+001
 1.2113423E+001, 1.0001535E+000, 1.0430448E+000, 9.9906204E-004, 7.1000000E+001
 1.2202081E+001, 1.0001877E+000, 1.0437870E+000, 9.9978620E-004, 6.8000000E+001
 1.2290740E+001, 1.0001867E+000, 1.0366767E+000, 9.9993308E-004, 3.6800000E+002
 1.2379399E+001, 1.0001856E+000, 1.0298554E+000, 9.9963168E-004, 2.5000000E+001
 1.2468057E+001, 1.0001845E+000, 1.0235308E+000, 9.9862511E-004, 1.6000000E+001
 1.2556716E+001, 1.0001828E+000, 1.0177146E+000, 9.9666614E-004, 1.0000000E+001
 1.2645375E+001, 1.0001806E+000, 1.0123347E+000, 9.9232841E-004, 8.0000000E+000
 1.2734033E+001, 1.0001775E+000, 1.0075556E+000, 9.9356944E-004, 9.0000000E+000
 1.2822692E+001, 1.0001714E+000, 1.0034742E+000, 9.5784825E-004, 9.0000000E+000
 1.2911351E+001, 1.0001613E+000, 1.0000921E+000, 8.9114852E-004, 1.0000000E+001
 1.3000009E+001, 1.0001469E+000, 9.9720366E-001, 9.2742498E-004, 1.0000000E+001
 1.3088668E+001, 1.0001277E+000, 9.9455050E-001, 9.9697137E-004, 1.0000000E+001
 1.3177327E+001, 1.0001025E+000, 9.9192540E-001, 9.4865488E-004, 1.2000000E+001
 1.3265986E+001, 1.0000699E+000, 9.8923998E-001, 9.9405161E-004, 1.1000000E+001
 1.3354644E+001, 1.0000306E+000, 9.8655994E-001, 9.4203826E-004, 1.2000000E+001
 1.3443303E+001, 9.9998563E-001, 9.8395027E-001, 9.9215592E-004, 1.1000000E+001
 1.3531962E+001, 9.9993713E-001, 9.8143948E-001, 9.9609691E-004, 1.0000000E+001
 1.3620620E+001, 9.9988718E-001, 9.7905647E-001, 9.2437322E-004, 1.0000000E+001
 1.3709279E+001, 9.9983732E-001, 9.7688957E-001, 9.9480565E-004, 1.2000000E+001
 1.3797938E+001, 9.9981095E-001, 9.7503784E-001, 9.9995027E-004, 2.1500000E+002
 1.3886596E+001, 9.9980904E-001, 9.7363182E-001, 9.9941264E-004, 7.2000000E+001
 1.3975255E+001, 9.9981138E-001, 9.7238389E-001, 9.9120170E-004, 1.0000000E+001
 1.4063914E+001, 9.9981619E-001, 9.7171553E-001, 9.7229215E-004, 1.1000000E+001
