s,m3/s,m3/s,m/s,
Time,"flow_in","flow_out","error","iter"
 1.4338632E+001, 1.0000260E+000, 1.0224633E+000, 9.4846818E-004, 8.0000000E+000
 1.4428170E+001, 9.9997115E-001, 1.0199689E+000, 9.2714386E-004, 8.0000000E+000
 1.4517709E+001, 9.9992024E-001, 1.0170179E+000, 9.4196508E-004, 8.0000000E+000
 1.4607248E+001, 9.9987500E-001, 1.0135949E+000, 9.1714577E-004, 8.0000000E+000
 1.4696786E+001, 9.9983633E-001, 1.0097039E+000, 9.1367311E-004, 8.0000000E+000
 1.4786325E+001, 9.9980453E-001, 1.0052843E+000, 9.4854248E-004, 8.0000000E+000
 1.4875863E+001, 9.9978072E-001, 1.0002900E+000, 9.6124511E-004, 8.0000000E+000
 1.4965402E+001, 9.9976555E-001, 9.9479234E-001, 9.0818771E-004, 8.0000000E+000
 1.5054941E+001, 9.9975899E-001, 9.8895674E-001, 9.7878805E-004, 7.0000000E+000
 1.5144479E+001, 9.9976043E-001, 9.8287422E-001, 9.9725309E-004, 7.0000000E+000
 1.5234018E+001, 9.9976960E-001, 9.7677774E-001, 8.9972593E-004, 9.0000000E+000
 1.5323557E+001, 9.9978529E-001, 9.7106161E-001, 9.8303213E-004, 9.0000000E+000
 1.5413095E+001, 9.9980701E-001, 9.6603406E-001, 9.2906911E-004, 1.2000000E+001
 1.5502634E+001, 9.9983407E-001, 9.6203038E-001, 9.8338555E-004, 1.5000000E+001
 1.5592172E+001, 9.9986569E-001, 9.5950254E-001, 9.8889828E-004, 2.0000000E+001
 1.5681711E+001, 9.9989808E-001, 9.5865931E-001, 9.9513440E-004, 2.1000000E+001
 1.5771250E+001, 9.9992696E-001, 9.5935329E-001, 9.8179276E-004, 1.9000000E+001
 1.5860788E+001, 9.9994928E-001, 9.6120152E-001, 9.7571182E-004, 1.6000000E+001
 1.5950327E+001, 9.9996329E-001, 9.6382603E-001, 9.5363575E-004, 1.4000000E+001
 1.6039865E+001, 9.9996850E-001, 9.6690540E-001, 9.4203212E-004, 1.2000000E+001
 1.6129404E+001, 9.9996550E-001, 9.7017650E-001, 9.8673747E-004, 1.0000000E+001
 1.6218943E+001, 9.9995553E-001, 9.7344077E-001, 8.8412274E-004, 9.0000000E+000
 1.6308481E+001, 9.9994055E-001, 9.7647757E-001, 8.5492824E-004, 7.0000000E+000
 1.6398020E+001, 9.9992269E-001, 9.7915064E-001, 7.7139419E-004, 7.0000000E+000
 1.6487558E+001, 9.9990293E-001, 9.8128658E-001, 9.0705965E-004, 6.0000000E+000
 1.6577097E+001, 9.9988239E-001, 9.8294457E-001, 9.9829685E-004, 7.0000000E+000
 1.6666636E+001, 9.9985984E-001, 9.8422028E-001, 8.7683378E-004, 9.0000000E+000
 1.6756174E+001, 9.9983533E-001, 9.8511914E-001, 9.7668307E-004, 9.0000000E+000
 1.6845713E+001, 9.9981057E-001, 9.8561124E-001, 9.9816310E-004, 9.0000000E+000
 1.6935252E+001, 9.9978804E-001, 9.8559738E-001, 9.3914616E-004, 9.0000000E+000
 1.7024790E+001, 9.9976992E-001, 9.8499798E-001, 9.5899076E-004, 8.0000000E+000
 1.7114329E+001, 9.9975785E-001, 9.8380703E-001, 8.4749744E-004, 8.0000000E+000
 1.7203867E+001, 9.9975227E-001, 9.8211734E-001, 8.8676906E-004, 7.0000000E+000
 1.7293406E+001, 9.9975366E-001, 9.8007597E-001, 9.1242061E-004, 7.0000000E+000
 1.7382945E+001, 9.9976086E-001, 9.7786888E-001, 9.0176399E-004, 7.0000000E+000
 1.7472483E+001, 9.9977289E-001, 9.7564055E-001, 8.6803479E-004, 7.0000000E+000
 1.7562022E+001, 9.9978916E-001, 9.7346678E-001, 8.5701442E-004, 7.0000000E+000
 1.7651560E+001, 9.9980876E-001, 9.7136926E-001, 8.5942214E-004, 7.0000000E+000
 1.7741099E+001, 9.9983079E-001, 9.6935232E-001, 8.9353910E-004, 7.0000000E+000
 1.7830638E+001, 9.9985409E-001, 9.6743492E-001, 9.3069215E-004, 7.0000000E+000
 1.7920176E+001, 9.9987627E-001, 9.6567602E-001, 9.3234268E-004, 7.0000000E+000
 1.8009715E+001, 9.9989448E-001, 9.6417435E-001, 9.4667287E-004, 8.0000000E+000
 1.8099253E+001, 9.9990587E-001, 9.6302997E-001, 9.8899996E-004, 8.0000000E+000
 1.8188792E+001, 9.9990936E-001, 9.6231927E-001, 9.9917158E-004, 8.0000000E+000
 1.8278331E+001, 9.9990674E-001, 9.6207742E-001, 9.8131213E-004, 8.0000000E+000
 1.8367869E+001, 9.9990010E-001, 9.6231305E-001, 9.6348850E-004, 8.0000000E+000
 1.8457408E+001, 9.9989184E-001, 9.6300754E-001, 9.5684255E-004, 8.0000000E+000
 1.8546947E+001, 9.9988267E-001, 9.6412827E-001, 9.6952212E-004, 8.0000000E+000
 1.8636485E+001, 9.9987324E-001, 9.6561449E-001, 9.6125117E-004, 8.0000000E+000
 1.8726024E+001, 9.9986278E-001, 9.6742122E-001, 9.4146011E-004, 8.0000000E+000
 1.8815562E+001, 9.9985123E-001, 9.6952544E-001, 9.2069750E-004, 8.0000000E+000
 1.8905101E+001, 9.9983874E-001, 9.7198378E-001, 9.3621369E-004, 7.0000000E+000
 1.8994640E+001, 9.9982615E-001, 9.7480592E-001, 9.8640299E-004, 6.0000000E+000
 1.9084178E+001, 9.9981413E-001, 9.7776755E-001, 7.9212395E-004, 7.0000000E+000
 1.9173717E+001, 9.9980359E-001, 9.8083828E-001, 7.6870670E-004, 7.0000000E+000
 1.9263255E+001, 9.9979435E-001, 9.8396387E-001, 8.2439972E-004, 7.0000000E+000
 1.9352794E+001, 9.9978624E-001, 9.8708758E-001, 8.1868347E-004, 7.0000000E+000
 1.9442333E+001, 9.9977772E-001, 9.9016496E-001, 9.3290694E-004, 7.0000000E+000
 1.9531871E+001, 9.9976762E-001, 9.9325327E-001, 9.9543362E-004, 8.0000000E+000
 1.9621410E+001, 9.9975599E-001, 9.9629878E-001, 9.8440656E-004, 9.0000000E+000
 1.9710948E+001, 9.9974307E-001, 9.9895628E-001, 9.9147592E-004, 8.0000000E+000
 1.9800487E+001, 9.9973023E-001, 1.0010624E+000, 9.5870100E-004, 8.0000000E+000
 1.9890026E+001, 9.9971921E-001, 1.0025550E+000, 9.7210979E-004, 8.0000000E+000
 1.9979564E+001, 9.9971234E-001, 1.0034306E+000, 9.5772287E-004, 8.0000000E+000
 2.0069103E+001, 9.9971210E-001, 1.0036026E+000, 9.6603853E-004, 7.0000000E+000
 2.0158642E+001, 9.9972011E-001, 1.0031868E+000, 9.1637592E-004, 7.0000000E+000
 2.0248180E+001, 9.9973916E-001, 1.0022311E+000, 9.8387577E-004, 7.0000000E+000
 2.0337719E+001, 9.9977263E-001, 1.0008296E+000, 8.4517216E-004, 8.0000000E+000
 2.0427257E+001, 9.9982029E-001, 9.9908764E-001, 9.5064507E-004, 7.0000000E+000
 2.0516796E+001, 9.9988286E-001, 9.9730225E-001, 9.3210919E-004, 8.0000000E+000
 2.0606335E+001, 9.9995710E-001, 9.9567807E-001, 9.7689496E-004, 8.0000000E+000
 2.0695873E+001, 1.0000391E+000, 9.9443183E-001, 9.0422449E-004, 9.0000000E+000
 2.0785412E+001, 1.0001219E+000, 9.9358308E-001, 9.0657714E-004, 9.0000000E+000
 2.0874950E+001, 1.0001997E+000, 9.9310523E-001, 9.9949884E-004, 8.0000000E+000
 2.0964489E+001, 1.0002685E+000, 9.9290242E-001, 9.7889873E-004, 8.0000000E+000
 2.1054028E+001, 1.0003224E+000, 9.9267478E-001, 9.8782479E-004, 1.2000000E+001
 2.1143566E+001, 1.0003567E+000, 9.9246740E-001, 9.9151116E-004, 1.4000000E+001
 2.1233105E+001, 1.0003689E+000, 9.9275047E-001, 9.9883120E-004, 1.3000000E+001
 2.1322643E+001, 1.0003653E+000, 9.9366941E-001, 9.9051292E-004, 1.0000000E+001
 2.1412182E+001, 1.0003483E+000, 9.9501168E-001, 9.6711440E-004, 9.0000000E+000
 2.1501721E+001, 1.0003205E+000, 9.9662887E-001, 9.6776098E-004, 8.0000000E+000
 2.1591259E+001, 1.0002846E+000, 9.9845805E-001, 9.6317207E-004, 7.0000000E+000
 2.1680798E+001, 1.0002427E+000, 1.0004815E+000, 8.6881137E-004, 7.0000000E+000
 2.1770337E+001, 1.0001978E+000, 1.0026578E+000, 9.6636123E-004, 6.0000000E+000
 2.1859875E+001, 1.0001500E+000, 1.0049268E+000, 8.6201309E-004, 7.0000000E+000
 2.1949414E+001, 1.0001011E+000, 1.0071764E+000, 9.6410844E-004, 7.0000000E+000
 2.2038952E+001, 1.0000521E+000, 1.0092728E+000, 9.8137171E-004, 8.0000000E+000
 2.2128491E+001, 1.0000040E+000, 1.0110532E+000, 9.9248851E-004, 9.0000000E+000
 2.2218030E+001, 9.9995850E-001, 1.0124077E+000, 9.5077452E-004, 1.0000000E+001
 2.2307568E+001, 9.9991686E-001, 1.0133651E+000, 9.2357156E-004, 1.0000000E+001
 2.2397107E+001, 9.9987927E-001, 1.0141361E+000, 9.5197780E-004, 9.0000000E+000
 2.2486645E+001, 9.9984596E-001, 1.0149259E+000, 9.9125240E-004, 1.0000000E+001
 2.2576184E+001, 9.9981719E-001, 1.0159200E+000, 9.8458467E-004, 1.5000000E+001
 2.2665723E+001, 9.9979700E-001, 1.0172487E+000, 9.9181755E-004, 1.5000000E+001
 2.2755261E+001, 9.9978950E-001, 1.0186022E+000, 9.7852233E-004, 1.4000000E+001
 2.2844800E+001, 9.9979622E-001, 1.0198098E+000, 9.7364647E-004, 1.2000000E+001
