s,kW/m2,(kg/m2/s)
Time,HRRPUA,MLRPUA
805,105.8942988,0.009411746
806,104.7907435,0.00892253
807,105.5479793,0.008440337
808,105.6524219,0.008064539
809,104.7560952,0.007989257
810,103.6421503,0.007818851
811,107.2367786,0.008571116
812,109.312374,0.008758858
813,108.1934769,0.009015667
814,108.3946768,0.010165375
815,107.8553314,0.009929874
816,109.9849738,0.009202567
817,107.4119879,0.007526335
818,108.8698647,0.006229657
819,107.7062624,0.005263119
820,108.7271662,0.005575864
821,107.5917063,0.008446713
822,107.3611251,0.010121342
823,109.89038,0.00940515
824,109.6270786,0.008838389
825,110.4529109,0.009700277
826,109.6346373,0.0107648
827,108.8799161,0.010265774
828,110.9623843,0.006573413
829,112.4814452,0.004838769
830,112.7083071,0.008160775
831,111.683438,0.011937443
832,109.3239592,0.011186432
833,109.8305558,0.008229713
834,112.9529005,0.008789147
835,112.6471264,0.011159059
836,114.112032,0.011452143
837,109.7669496,0.010682435
838,111.2794861,0.00995027
839,114.0195577,0.008376065
840,112.2854172,0.007617056
841,112.327938,0.010108817
842,115.2798177,0.011875179
843,117.5416689,0.010647445
844,116.3141088,0.008489844
845,118.0945695,0.007550965
846,119.2254965,0.007572401
847,117.5402387,0.007935932
848,117.6354095,0.009540014
849,116.5552154,0.011313795
850,116.4292653,0.011308236
851,118.4091114,0.009722822
852,120.1889829,0.0082302
853,119.7227481,0.007181954
854,119.5667,0.008647678
855,117.8886886,0.01011601
856,118.4711197,0.009890507
857,118.699016,0.008612104
858,123.5573985,0.008894806
859,121.5922743,0.010481944
860,119.2262907,0.011760112
861,121.0634214,0.012460096
862,118.954567,0.011240416
863,120.9236199,0.009280527
864,120.7397854,0.007312409
865,121.0442777,0.006692389
866,118.9862475,0.009594224
867,119.6477777,0.012785762
868,127.023193,0.013604893
869,124.5906579,0.009738157
870,123.8466983,0.006294661
871,126.2829007,0.009360561
872,126.4408969,0.01305361
873,126.2898432,0.010628689
874,125.5652256,0.008178177
875,127.3128336,0.010770299
876,130.5208056,0.012939747
877,130.3536103,0.010203695
878,131.3121319,0.007523988
